target,quantile,feature_block,model,gamma,subject_id,n,locked_rmse,candidate_rmse,improvement_locked_minus_candidate,delta_candidate_minus_locked
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,54,345,2.477109468233409,2.477109468233409,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,55,819,1.3381857160407502,1.3381857160407502,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,56,201,1.9723461110139118,1.9723461110139118,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,57,458,3.2887056815158964,3.2887056815158964,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,58,252,2.060187132125431,2.060187132125431,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,59,467,2.52989344229672,2.52989344229672,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,6,1088,1.8723755768266206,1.8723755768266206,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,60,627,2.4500021200572637,2.4500021200572637,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,61,345,2.3257510352178783,2.3257510352178783,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,62,403,3.5591412298753364,3.5591412298753364,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,63,612,3.26563147868298,3.26563147868298,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,64,104,3.7924300820375385,3.7924300820375385,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,65,526,1.8477133075204337,1.8477133075204337,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,7,345,1.4627017099053237,1.4627017099053237,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,8,488,2.4694799778940264,2.4694799778940264,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,9,496,2.72936225085353,2.72936225085353,0.0,0.0
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,1,452,2.9368748262567417,2.9306561904706507,0.0062186357860909425,-0.0062186357860909425
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,10,327,2.844444057026513,2.8405471419678276,0.0038969150586853907,-0.0038969150586853907
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,11,422,2.572336929717387,2.594036962965911,-0.021700033248523987,0.021700033248523987
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,12,138,2.1122873557621853,2.119288489872498,-0.00700113411031289,0.00700113411031289
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,13,644,1.7800390021753902,1.8098769142119535,-0.029837912036563274,0.029837912036563274
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,14,327,1.6019783830372953,1.6368566224925372,-0.03487823945524182,0.03487823945524182
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,15,248,3.114852011866719,3.1111882637502664,0.0036637481164527586,-0.0036637481164527586
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,16,210,2.786829138006857,2.767597515101183,0.01923162290567415,-0.01923162290567415
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,17,243,2.209887930516505,2.239922800588631,-0.03003487007212602,0.03003487007212602
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,18,598,2.9707308879557384,2.964061980974248,0.006668906981490252,-0.006668906981490252
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,19,466,2.133332814472424,2.1827415464719246,-0.04940873199950069,0.04940873199950069
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,2,804,1.9001274492678175,1.9528225755652888,-0.052695126297471306,0.052695126297471306
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,20,285,2.190852574328747,2.228971137493945,-0.03811856316519835,0.03811856316519835
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,21,245,3.024777438336306,3.027055096336439,-0.0022776580001329094,0.0022776580001329094
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,22,585,3.0225516185652057,3.023273731896986,-0.0007221133317800721,0.0007221133317800721
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,23,196,2.0763772558642604,2.098257259524683,-0.02188000366042253,0.02188000366042253
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,24,261,2.221407394938486,2.2230343329928433,-0.0016269380543572076,0.0016269380543572076
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,25,439,3.7741155023527506,3.7668729521500732,0.007242550202677389,-0.007242550202677389
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,26,546,2.303989732947513,2.326929294206529,-0.022939561259016195,0.022939561259016195
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,27,250,2.694980890452885,2.6982309672425164,-0.0032500767896315175,0.0032500767896315175
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,28,468,1.9554554798883805,1.9780482764282097,-0.022592796539829152,0.022592796539829152
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,29,310,2.5890298885992515,2.5933524214777415,-0.0043225328784899375,0.0043225328784899375
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,3,298,2.0040740841055524,1.9651177249048537,0.03895635920069873,-0.03895635920069873
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,30,40,2.4240817941267703,2.4399838577449406,-0.01590206361817037,0.01590206361817037
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,31,619,2.8424129010192094,2.859012988418536,-0.01660008739932639,0.01660008739932639
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,32,140,2.416058334819233,2.423625095830717,-0.007566761011484235,0.007566761011484235
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,33,252,2.4602611624503035,2.4631446166739166,-0.0028834542236131355,0.0028834542236131355
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,34,156,2.3153439934488,2.3109963104963684,0.004347682952431597,-0.004347682952431597
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,35,236,3.011210585583954,3.004138853304691,0.007071732279262832,-0.007071732279262832
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,36,246,2.1792565424704535,2.1884154405472103,-0.009158898076756739,0.009158898076756739
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,37,209,2.7646702556185043,2.7696134587757655,-0.004943203157261156,0.004943203157261156
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,38,240,2.5324362769860262,2.5309711186952484,0.0014651582907778682,-0.0014651582907778682
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,39,507,2.821283938464191,2.832437604957632,-0.011153666493441072,0.011153666493441072
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,40,828,3.6592327690848836,3.663986825342661,-0.0047540562577772505,0.0047540562577772505
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,41,654,1.8645977938737581,1.959204573417004,-0.09460677954324592,0.09460677954324592
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,42,685,2.1406560940835324,2.221894480672508,-0.08123838658897542,0.08123838658897542
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,43,390,2.6120204503116473,2.637216421643319,-0.02519597133167162,0.02519597133167162
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,44,616,3.605655086465538,3.603517528322718,0.0021375581428197954,-0.0021375581428197954
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,45,252,2.9622499200805663,2.9291228249258032,0.033127095154763087,-0.033127095154763087
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,46,451,3.296096500560048,3.297764746619281,-0.0016682460592329917,0.0016682460592329917
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,47,644,3.5128331869790856,3.512581467619681,0.00025171935940448975,-0.00025171935940448975
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,48,153,2.71405343548504,2.7108988899111304,0.003154545573909484,-0.003154545573909484
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,49,595,2.338413373672547,2.3681192391322345,-0.02970586545968734,0.02970586545968734
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,5,427,2.2278947625819923,2.236258302763014,-0.008363540181021811,0.008363540181021811
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,50,139,2.4547264925821297,2.4716590413381163,-0.0169325487559866,0.0169325487559866
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,52,383,3.3726465604178206,3.36934198052709,0.003304579890730519,-0.003304579890730519
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,53,50,1.8997243161629382,1.9056288804517703,-0.005904564288832015,0.005904564288832015
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,54,345,2.477109468233409,2.48879530281061,-0.01168583457720107,0.01168583457720107
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,55,819,1.3381857160407502,1.4159390277215198,-0.0777533116807696,0.0777533116807696
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,56,201,1.9723461110139118,2.0168854371431935,-0.04453932612928169,0.04453932612928169
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,57,458,3.2887056815158964,3.29423058359607,-0.005524902080173533,0.005524902080173533
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,58,252,2.060187132125431,2.0983301795515,-0.03814304742606911,0.03814304742606911
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,59,467,2.52989344229672,2.6053765489266856,-0.07548310662996549,0.07548310662996549
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,6,1088,1.8723755768266206,1.994201736581945,-0.12182615975532451,0.12182615975532451
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,60,627,2.4500021200572637,2.485512649151004,-0.035510529093740306,0.035510529093740306
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,61,345,2.3257510352178783,2.334837850698775,-0.009086815480896515,0.009086815480896515
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,62,403,3.5591412298753364,3.5607944784307626,-0.0016532485554261456,0.0016532485554261456
