target,feature_block,model,k_calibration,candidate_rmse,locked_B2_k16_rmse,pooled_delta_rmse_candidate_minus_locked_B2,pooled_lift_vs_locked_B2_rmse,subjects_with_pair,mean_delta_rmse_candidate_minus_locked_B2,median_delta_rmse_candidate_minus_locked_B2,ci95_low_mean_delta_candidate_minus_locked_B2,ci95_high_mean_delta_candidate_minus_locked_B2,wins_vs_locked_B2,losses_vs_locked_B2,ties_vs_locked_B2,win_margin_vs_locked_B2,subject_evidence_status,passes_sample_reduction_gate,reason
arousal,emg_lagged_interaction_experimental,physio_similarity_knn64,16,1.9540228000040305,1.6576672767528169,0.2963555232512136,-0.2963555232512136,63,0.28331992154447955,0.17362932335789338,0.19953008170840805,0.3774767637125567,10,53,0,-43,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_similarity_knn64,4,1.9546470846021864,1.6576672767528169,0.2969798078493695,-0.2969798078493695,63,0.2833170120010657,0.16847712363961853,0.19905741580337402,0.3766214713811424,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge1000,16,1.954831556275796,1.6576672767528169,0.2971642795229792,-0.2971642795229792,63,0.2821050686738434,0.17394076236480993,0.20076536672533896,0.37700068431045936,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge1000,4,1.96043575033572,1.6576672767528169,0.30276847358290304,-0.30276847358290304,63,0.28667707687152816,0.19843996813034792,0.20553608888270058,0.383777577839588,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_similarity_knn64,16,1.9605708185336068,1.6576672767528169,0.30290354178078993,-0.30290354178078993,63,0.2880166092006533,0.18022643668834348,0.20838127963132141,0.3787267474608982,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_residual_ridge1000,8,1.9625468670588408,1.6576672767528169,0.30487959030602396,-0.30487959030602396,63,0.2878496819791137,0.2005375604345725,0.20585853505650878,0.3834589406825909,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_bsl_stats_22,physio_similarity_knn64,16,1.9647210826935635,1.6576672767528169,0.3070538059407466,-0.3070538059407466,63,0.2943766672953038,0.18168950930579886,0.21466769815253972,0.3818810265316295,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_similarity_knn64,4,1.9662719458065911,1.6576672767528169,0.30860466905377426,-0.30860466905377426,63,0.29241982497311747,0.20073134976873175,0.21016229873219375,0.38791380367225364,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_similarity_knn64,8,1.966766928954924,1.6576672767528169,0.3090996522021072,-0.3090996522021072,63,0.29226568630491145,0.19701808658499997,0.21098700216998237,0.3867870102271354,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_bsl_stats_22,physio_similarity_knn64,4,1.9686580238964384,1.6576672767528169,0.3109907471436215,-0.3109907471436215,63,0.29797164709502394,0.19066450126432177,0.21855080887331124,0.3856167391939207,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_similarity_knn64,4,1.9742673213715585,1.6576672767528169,0.3166000446187416,-0.3166000446187416,63,0.2986815920733174,0.18083018229747982,0.21502381064674447,0.39353785840498645,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_bsl_stats_22,physio_similarity_knn64,8,1.9754372479465567,1.6576672767528169,0.31776997119373984,-0.31776997119373984,63,0.30497119416599333,0.2151440545599903,0.22644833283129756,0.3943581593665913,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_similarity_knn64,8,1.9774252002314672,1.6576672767528169,0.3197579234786503,-0.3197579234786503,63,0.3008701461766454,0.19191051082578814,0.21876791076721322,0.39499037093654454,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_similarity_knn64,16,1.9794732959449304,1.6576672767528169,0.3218060191921135,-0.3218060191921135,63,0.3036237735544899,0.19095127839817416,0.22103296513807968,0.3989968755259769,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_existing_22,physio_similarity_knn64,8,1.984563234340201,1.6576672767528169,0.3268959575873842,-0.3268959575873842,63,0.3143911847869911,0.20221342056114477,0.2300259013870607,0.4083113332884846,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_existing_22,physio_similarity_knn64,4,1.9857119132047816,1.6576672767528169,0.3280446364519647,-0.3280446364519647,63,0.315096944499609,0.21336287903969442,0.23210778086328906,0.41077826301109993,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
