target,k_calibration_trials,mean_eval_n,oracle_kshot_subject_mean_rmse_mean,oracle_kshot_subject_mean_lift_vs_zero_mean,oracle_kshot_subject_mean_lift_p10,oracle_kshot_subject_mean_lift_p90
arousal,1,1953.0,2.3890148460592755,-0.44504279437735533,-0.602056705044012,-0.28790793190804687
arousal,2,1890.0,2.0721644238033474,-0.1282030874036875,-0.2196725472999994,-0.043706261449520625
arousal,4,1764.0,1.8871691845842922,0.0576932422707864,0.00827975345594556,0.10597817150854144
arousal,8,1512.0,1.7915307720647868,0.15206442135724046,0.11921350295967639,0.1852329458031765
arousal,16,1008.0,1.7387893921164388,0.2035191703166464,0.17060294434170062,0.23250527265632465
valence,1,1953.0,1.7283785519192085,-0.47087005700044443,-0.5807636728188614,-0.37774219396884473
valence,2,1890.0,1.4893110465827126,-0.23144330805425203,-0.2956958268908801,-0.16285711745157821
valence,4,1764.0,1.3624504226426928,-0.10437858790083507,-0.1387265141730794,-0.07175907468215416
valence,8,1512.0,1.2911442925838137,-0.03382676644500718,-0.0538844796375066,-0.015209740019191242
valence,16,1008.0,1.2534776616588315,0.0033440897695953065,-0.011988497858749492,0.018330951558592684
