target,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,residual_mae,residual_rmse,residual_pearson,residual_spearman,residual_ccc,residual_y_true_mean,residual_y_true_std,residual_y_pred_mean,residual_y_pred_std,residual_residual_mean,residual_residual_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_residual_mae,lift_vs_stimulus_residual_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc
arousal,0,stimulus_only,256,2.0390625,2.4114416891992563,0.32017274237776433,0.3210211211516461,0.2675339998368259,4.828125,2.4799488874521183,4.828125,1.337482044391205,3.469446951953614e-17,2.4114416891992563,2.0390625,2.4114416891992563,,,0.0,3.469446951953614e-17,2.4114416891992563,0.0,0.0,3.469446951953614e-17,2.4114416891992563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,256,2.0390625,2.4114416891992563,0.32017274237776433,0.3210211211516461,0.2675339998368259,4.828125,2.4799488874521183,4.828125,1.337482044391205,3.469446951953614e-17,2.4114416891992563,2.0390625,2.4114416891992563,,,0.0,3.469446951953614e-17,2.4114416891992563,0.0,0.0,3.469446951953614e-17,2.4114416891992563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,256,2.0390625,2.4114416891992563,0.32017274237776433,0.3210211211516461,0.2675339998368259,4.828125,2.4799488874521183,4.828125,1.337482044391205,3.469446951953614e-17,2.4114416891992563,2.0390625,2.4114416891992563,,,0.0,3.469446951953614e-17,2.4114416891992563,0.0,0.0,3.469446951953614e-17,2.4114416891992563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,12400,2.0365783410138247,2.4090455907532853,0.3220764465512738,0.3227096032988827,0.26904235953980876,4.8264516129032256,2.480350584464268,4.825748847926267,1.336953982038721,0.0007027649769585306,2.409045488248247,2.0365783410138247,2.4090455907532853,,,0.0,0.0007027649769585306,2.409045488248247,0.0,0.0,0.0007027649769585306,2.409045488248247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,1,stimulus_plus_fewshot_bias,12400,1.9073963133640552,2.4149605034136807,0.5651364867866827,0.5592686638841634,0.563359932613707,4.8264516129032256,2.480350584464268,4.803963133640552,2.684021692101332,0.02248847926267284,2.414855793075129,1.9073963133640552,2.4149605034136807,0.5133149180823664,0.5003245337191701,0.5130493596551134,0.0007027649769585306,2.409045488248247,-0.021785714285714356,2.4844793473786453,0.022488479262672847,2.414855793075129,0.1291820276497695,-0.005914912660395455,0.1291820276497695,-0.005914912660395455,0.2430600402354089,0.2365590605852807,0.2943175730738982
arousal,1,stimulus_plus_fewshot_bias_shrink4,12400,1.8467695852534562,2.195793572740438,0.47209958146090614,0.47503386395961616,0.3999585450956465,4.8264516129032256,2.480350584464268,4.821391705069124,1.3722715578183824,0.005059907834101391,2.19578774279777,1.8467695852534562,2.195793572740438,0.5133149180823665,0.5003245337191701,0.20311310100705088,0.0007027649769585306,2.409045488248247,-0.0043571428571428554,0.4968958694757291,0.0050599078341014275,2.19578774279777,0.18980875576036849,0.21325201801284743,0.18980875576036849,0.21325201801284743,0.15002313490963232,0.15232426066073346,0.13091618555583773
arousal,2,stimulus_only,12000,2.041095238095238,2.413335964218508,0.31892401557288036,0.3193684358152093,0.2665435667187537,4.830166666666667,2.480018139494593,4.829404761904762,1.3380038892306598,0.0007619047619047024,2.413335843949534,2.041095238095238,2.413335964218508,,,0.0,0.0007619047619047024,2.413335843949534,0.0,0.0,0.0007619047619047024,2.413335843949534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,2,stimulus_plus_fewshot_bias,12000,1.6296666666666666,2.0732180283793786,0.6250137707883585,0.6251449114270649,0.6230643875294394,4.830166666666667,2.480018139494593,4.817976190476191,2.291824048399192,0.012190476190476205,2.07318218820429,1.6296666666666666,2.0732180283793786,0.5782506786698776,0.5738092249619879,0.5703848769716221,0.0007619047619047024,2.413335843949534,-0.011428571428571482,2.0446288521042497,0.012190476190476205,2.07318218820429,0.4114285714285715,0.3401179358391295,0.4114285714285715,0.3401179358391295,0.30608975521547815,0.30577647561185556,0.3565208208106857
arousal,2,stimulus_plus_fewshot_bias_shrink4,12000,1.7563055555555553,2.094399047367648,0.5367316570007113,0.5365534363967934,0.4628217058616203,4.830166666666667,2.480018139494593,4.825595238095238,1.419619846074862,0.004571428571428536,2.0943940583508462,1.7563055555555556,2.094399047367648,0.5782506786698774,0.5738386408268268,0.3024791630654648,0.0007619047619047024,2.413335843949534,-0.0038095238095238147,0.6815429507014166,0.004571428571428574,2.0943940583508462,0.28478968253968273,0.31893691685086,0.2847896825396825,0.31893691685086,0.217807641427831,0.21718500058158413,0.19627813914286663
arousal,4,stimulus_only,11200,2.035076530612245,2.4063933308945487,0.3229115677857153,0.3223536768625889,0.2705862802964889,4.830357142857143,2.477031607940176,4.833877551020407,1.3428265767875414,-0.003520408163265338,2.4063907558208673,2.035076530612245,2.4063933308945487,,,0.0,-0.003520408163265338,2.4063907558208673,0.0,0.0,-0.003520408163265338,2.4063907558208673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,4,stimulus_plus_fewshot_bias,11200,1.5086989795918369,1.9033739894544577,0.6733268852526267,0.6748905453573204,0.6680385896005565,4.830357142857143,2.477031607940176,4.8585204081632645,2.1856202704918055,-0.02816326530612244,1.903165619229991,1.5086989795918369,1.9033739894544577,0.6345653160796308,0.6305356870783364,0.61943876100297,-0.003520408163265338,2.4063907558208673,0.024642857142857164,1.9308547660430135,-0.02816326530612246,1.903165619229991,0.5263775510204081,0.503019341440091,0.5263775510204081,0.503019341440091,0.35041531746691146,0.3525368684947315,0.3974523093040676
arousal,4,stimulus_plus_fewshot_bias_shrink4,11200,1.6152678571428571,1.9428275409472076,0.6203680891477518,0.6169801559835227,0.5556153988833102,4.830357142857143,2.477031607940176,4.846198979591837,1.5355811796085725,-0.01584183673469389,1.9427629526197594,1.6152678571428571,1.9428275409472076,0.6345653160796308,0.6305356870783364,0.43855882075264213,-0.003520408163265338,2.4063907558208673,0.012321428571428582,0.9654273830215068,-0.015841836734693908,1.9427629526197594,0.41980867346938777,0.4635657899473411,0.41980867346938777,0.4635657899473411,0.2974565213620365,0.2946264791209338,0.28502911858682134
arousal,8,stimulus_only,9600,2.040699404761905,2.4138995711205102,0.31184039167194516,0.31278135040662797,0.26188723399929065,4.818645833333333,2.467776968494649,4.825922619047619,1.3432651194336203,-0.007276785714285742,2.4138886030315176,2.040699404761905,2.4138995711205102,,,0.0,-0.007276785714285742,2.4138886030315176,0.0,0.0,-0.007276785714285742,2.4138886030315176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,8,stimulus_plus_fewshot_bias,9600,1.427611607142857,1.7980353950597732,0.6991229197173278,0.7026839151730113,0.6883974676642026,4.818645833333333,2.467776968494649,4.847752976190477,2.069880707549602,-0.029107142857142877,1.7977997819897655,1.427611607142857,1.7980353950597734,0.6717989195619241,0.6587937409594261,0.6446897118598275,-0.007276785714285742,2.4138886030315176,0.021830357142857224,1.8086432395320462,-0.02910714285714287,1.7977997819897655,0.6130877976190479,0.6158641760607371,0.6130877976190479,0.6158641760607368,0.3872825280453826,0.38990256476638335,0.426510233664912
arousal,8,stimulus_plus_fewshot_bias_shrink4,9600,1.5076041666666666,1.835906898053928,0.6682932799495251,0.6676237952829126,0.6179026886811352,4.818645833333333,2.467776968494649,4.840476190476191,1.652511209185965,-0.02183035714285714,1.835777103525646,1.5076041666666666,1.835906898053928,0.6717989195619243,0.6588005422581822,0.5370879163953561,-0.007276785714285742,2.4138886030315176,0.014553571428571412,1.2057621596880308,-0.021830357142857165,1.835777103525646,0.5330952380952383,0.5779926730665823,0.5330952380952383,0.5779926730665823,0.35645288827758,0.35484244487628464,0.35601545468184453
arousal,16,stimulus_only,6400,2.0360044642857145,2.402525111890676,0.3227878540646357,0.32140653162660027,0.2704400801532331,4.82421875,2.472891971386627,4.840446428571428,1.3402741322882876,-0.016227678571428577,2.4024703069369013,2.0360044642857145,2.402525111890676,,,0.0,-0.016227678571428577,2.4024703069369013,0.0,0.0,-0.016227678571428577,2.4024703069369013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
