target,k_calibration,model,metric,pooled_rmse,pooled_residual_rmse,pooled_lift_vs_stimulus_rmse,pooled_lift_vs_stimulus_residual_rmse,pearson,ccc,subjects,mean_improvement_stimulus_minus_model,median_improvement_stimulus_minus_model,ci95_low_mean_improvement,ci95_high_mean_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric
arousal,1,stimulus_only,rmse,2.4090455907532853,2.4090455907532853,0.0,0.0,0.3220764465512738,0.2690423595398087,8,0.0024139738507153174,0.0030457827299399387,-0.00017025030043288708,0.004776592041744188,0.05398920215956809,6,2,0,4,0.14453125,False
arousal,1,stimulus_only,residual_rmse,2.4090455907532853,2.4090455907532853,0.0,0.0,0.3220764465512738,0.2690423595398087,8,0.0024139738507153174,0.0030457827299399387,-0.00011485925034710303,0.004724175705085855,0.05138972205558888,6,2,0,4,0.14453125,False
arousal,1,stimulus_plus_fewshot_bias,rmse,2.4149605034136807,2.4149605034136807,-0.0059149126603954,-0.0059149126603954,0.5651364867866827,0.563359932613707,8,-0.02136367604658418,-0.010593724386300574,-0.468134662399265,0.4687884171559906,0.5570885822835433,4,4,0,0,0.63671875,False
arousal,1,stimulus_plus_fewshot_bias,residual_rmse,2.4149605034136807,2.4149605034136807,-0.0059149126603954,-0.0059149126603954,0.5651364867866827,0.563359932613707,8,-0.02136367604658418,-0.010593724386300574,-0.4818296541003346,0.46478130070006624,0.5300939812037593,4,4,0,0,0.63671875,False
arousal,1,stimulus_plus_fewshot_bias_shrink4,rmse,2.195793572740438,2.195793572740438,0.2132520180128474,0.2132520180128474,0.4720995814609061,0.3999585450956465,8,0.18979657551428675,0.23401416775164896,0.05680964924981321,0.3218785082078373,0.029394121175764846,5,3,0,2,0.36328125,False
arousal,1,stimulus_plus_fewshot_bias_shrink4,residual_rmse,2.195793572740438,2.195793572740438,0.2132520180128474,0.2132520180128474,0.4720995814609061,0.3999585450956465,8,0.18979657551428675,0.23401416775164896,0.058996815502832464,0.32489666270431705,0.03079384123175365,5,3,0,2,0.36328125,False
arousal,2,stimulus_only,rmse,2.413335964218508,2.413335964218508,0.0,0.0,0.3189240155728803,0.2665435667187537,8,-0.001663234254552226,-0.002683860548114314,-0.005944098772376533,0.0031357321846413877,0.74625074985003,2,6,0,-4,0.96484375,False
arousal,2,stimulus_only,residual_rmse,2.413335964218508,2.413335964218508,0.0,0.0,0.3189240155728803,0.2665435667187537,8,-0.001663234254552226,-0.002683860548114314,-0.005986920672548904,0.0031360129693073844,0.7316536692661467,2,6,0,-4,0.96484375,False
arousal,2,stimulus_plus_fewshot_bias,rmse,2.073218028379378,2.073218028379378,0.3401179358391295,0.3401179358391295,0.6250137707883585,0.6230643875294394,8,0.3227198280697178,0.3753496639959104,-0.13798555318152855,0.7763237834207943,0.1247750449910018,5,3,0,2,0.36328125,False
arousal,2,stimulus_plus_fewshot_bias,residual_rmse,2.073218028379378,2.073218028379378,0.3401179358391295,0.3401179358391295,0.6250137707883585,0.6230643875294394,8,0.3227198280697178,0.3753496639959104,-0.1324112542155935,0.775290875232597,0.11737652469506099,5,3,0,2,0.36328125,False
