target,subject_r2_on_residual,stimulus_r2_on_residual,subject_plus_stimulus_r2_on_residual,unique_subject_r2_over_stimulus,unique_stimulus_r2_over_subject,additive_design_rank,additive_design_cols
arousal,0.26917643269772584,3.0973951039380484e-33,0.26917643269772584,0.26917643269772584,0.0,94,95
valence,0.09277716112190261,7.448844407039957e-33,0.09277716112190237,0.09277716112190237,-2.3592239273284576e-16,94,95
