epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.4422828880725084,1.0180198002558722,none,inner,1,arousal,0.0,1.941835675873948,,,
2,0.4279854750191724,1.0107299781412382,none,inner,1,arousal,0.0,1.941835675873948,,,
3,0.4217933239760222,1.0374190137566912,none,inner,1,arousal,0.0,1.941835675873948,,,
4,0.41743892707206587,1.0707015019569839,none,inner,1,arousal,0.0,1.941835675873948,,,
5,0.3924494015949744,1.070392211010678,none,inner,1,arousal,0.0,1.941835675873948,,,
6,0.3705684310860104,1.0641076621746097,none,inner,1,arousal,0.0,1.941835675873948,,,
7,0.341969920805207,1.083577771181143,none,inner,1,arousal,0.0,1.941835675873948,,,
8,0.3303864407870505,1.1810616809837444,none,inner,1,arousal,0.0,1.941835675873948,,,
9,0.29398717482884723,1.182289515253023,none,inner,1,arousal,0.0,1.941835675873948,,,
10,0.25287344803412753,1.2332615424688615,none,inner,1,arousal,0.0,1.941835675873948,True,,
1,0.4385169415223983,,none,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
2,0.42620239238585195,,none,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
1,0.4534944257250539,0.9362987708555864,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
2,0.4313948193082103,1.0449527945423547,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
3,0.4280323253737556,1.002078154074836,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
4,0.4195905360910628,0.9774066870521844,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
5,0.4051335622315054,0.9728819751847405,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
6,0.38566948970158893,0.9976405453949251,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
7,0.36801100384306024,0.973993555213173,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
8,0.34221259145824995,1.115800170341751,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
9,0.31601871329325215,1.0922544745246845,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,True,,
1,0.43585903101390405,,none,final,2,arousal,,,,-7.162729191130042e-18,1.9288502402018097
1,0.44168966235937895,1.0967102716434887,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
2,0.4333860487849624,1.1205327487049037,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
3,0.4211357213832714,1.1465524086169772,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
4,0.4107206863937555,1.1702408974532093,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
5,0.384477984574106,1.1827030828995357,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
6,0.3732620499752186,1.2591711353928088,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
7,0.3394745833895825,1.3793320529369797,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
8,0.3089321978666164,1.4092982164464005,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
9,0.2840571836740882,1.2678815643954673,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,True,,
1,0.4413159677097874,,none,final,3,arousal,,,,2.865091676452017e-17,1.9459122563827091
1,0.43514638890822727,1.1534508046390213,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
2,0.4287147784122714,1.176047015938795,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
3,0.40788425008455914,1.172525096335532,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
4,0.39853185415267944,1.2002592602744964,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
5,0.37719747534504644,1.1603412676002174,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
6,0.35323077661019786,1.2048031790433715,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
7,0.32792579382658005,1.2411825807912638,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
8,0.300035000399307,1.2657150866274216,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
9,0.28469512473653863,1.277181674873925,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,True,,
1,0.43891294588965757,,none,final,5,arousal,,,,-7.162729191130042e-18,1.9474092830945495
1,0.44577790327646116,0.9404883852802703,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
2,0.4273504490653674,0.9373246750401567,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
