target,decision,quantile,feature_block,model,gamma_physio_blend,locked_rmse,candidate_rmse,lift_vs_locked_rmse,lift_vs_locked_residual_rmse,residual_pearson,ci95_low_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,win_margin,passes_bridge_gate,reason
arousal,NO_GO_PHYSIOLOGY_BRIDGE_TO_LOCKED_PERSONALIZATION,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,2.622267149339945,2.622267149339945,0.0,0.0,0.6707333035594739,0.0,1.0,0,0,0,False,pooled RMSE lift vs locked < 0.02; residual RMSE lift vs locked < 0.02; bootstrap CI lower bound is not > 0; sign-flip p is not < 0.05; win margin <= 3
valence,NO_GO_PHYSIOLOGY_BRIDGE_TO_LOCKED_PERSONALIZATION,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.0,1.9297690086492687,1.9297690086492687,0.0,0.0,0.4715494702373676,0.0,1.0,0,0,0,False,pooled RMSE lift vs locked < 0.02; residual RMSE lift vs locked < 0.02; bootstrap CI lower bound is not > 0; sign-flip p is not < 0.05; win margin <= 3
