epoch,train_loss,val_rmse_scaled,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.44228279066306575,1.0180196063151026,inner,1,arousal,0.0,1.941835675873948,,,
2,0.4279854835735427,1.0107300348901427,inner,1,arousal,0.0,1.941835675873948,,,
3,0.4217933007964381,1.037419084651343,inner,1,arousal,0.0,1.941835675873948,,,
4,0.41743875322518526,1.0707037543237994,inner,1,arousal,0.0,1.941835675873948,,,
5,0.3924494399516671,1.0703954855346443,inner,1,arousal,0.0,1.941835675873948,,,
6,0.37056825282397093,1.0641100355388462,inner,1,arousal,0.0,1.941835675873948,,,
7,0.341968789420746,1.083579644597034,inner,1,arousal,0.0,1.941835675873948,,,
8,0.3303894411634516,1.1810615312887436,inner,1,arousal,0.0,1.941835675873948,,,
9,0.29398370782534283,1.1822665837001956,inner,1,arousal,0.0,1.941835675873948,,,
10,0.2528732717037201,1.2332422295436798,inner,1,arousal,0.0,1.941835675873948,True,,
1,0.43851687062171196,,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
2,0.42620232460960267,,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
1,0.4534944458692162,0.9362990261921453,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
2,0.4313948055108388,1.044953287237898,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
3,0.4280323733886083,1.002078048328576,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
4,0.41959064702192944,0.9774070529600416,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
5,0.405133912132846,0.9728903390536158,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
6,0.38567203255715193,0.997631733488579,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
7,0.3680091251929601,0.973999376509528,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
8,0.3422061602274577,1.1158155141850585,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
9,0.31601958804660374,1.092320091090627,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,True,,
