target,n_trials,n_subjects,n_stimuli,score_column,zero_residual_rmse_after_loso_stimulus_prior,leave_one_trial_subject_mean_oracle_rmse,leave_one_trial_subject_mean_oracle_lift_vs_zero,subject_oracle_ci95_low_mean_subject_improvement,subject_oracle_ci95_high_mean_subject_improvement,subject_oracle_signflip_p,k16_pooled_lift_vs_zero_mean,total_residual_variance,subject_mean_variance,stimulus_mean_variance,subject_mean_variance_ratio_to_total,stimulus_mean_variance_ratio_to_total,subject_style_split_half_mean_r,subject_style_split_half_median_r,subject_style_split_half_p10_r,subject_style_split_half_p90_r,subject_style_split_half_n_valid,shared_stimulus_residual_split_half_mean_r,shared_stimulus_residual_split_half_median_r,shared_stimulus_residual_split_half_p10_r,shared_stimulus_residual_split_half_p90_r,shared_stimulus_residual_split_half_n_valid,n_rows_used,n_subjects_used,n_stimuli_used,high_disagreement_abs_residual_threshold,high_disagreement_n,high_disagreement_zero_rmse,high_disagreement_subject_style_split_half_mean_r,high_disagreement_shared_stimulus_residual_split_half_mean_r,high_disagreement_n_subjects_used,high_disagreement_n_stimuli_used
arousal,2016,63,32,arousal_score,1.9442049821165959,1.7156812620516102,0.22852372006498567,0.1216375171021179,0.3143148515423157,0.0001999600079984003,0.20187276756915357,3.779933012486993,1.017468884137617,1.1664274125265904e-32,0.2691764326977258,3.0858414915642746e-33,0.8432316375671187,0.8438419261786094,0.8081599540817285,0.8771832832171407,1000,-1.0,-1.0,-1.0,-0.9999999999999997,1000,2016,63,32,2.2096774193548385,508,3.24013921212341,0.7812443317771156,0.8751509512146085,63,32
valence,2016,63,32,valence_score,1.257773694673858,1.2366527838196972,0.02112091085416079,0.005059956821812156,0.04241568872877676,0.011797640471905619,0.003861636837145584,1.5819946670135274,0.14677297411550472,1.1539421070418125e-32,0.09277716112190262,7.294222484455096e-33,0.5312172780409428,0.5320506988456233,0.4438141669887588,0.6160221514487346,1000,-1.0,-1.0,-1.0,-0.9999999999999998,1000,2016,63,32,1.435483870967742,505,2.1186046331336152,0.39829189564763073,0.7627248397441191,63,32
