test_subject,scope,model_group,task,n,subjects,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,cohen_kappa,auroc,average_precision,true_high_rate,pred_high_rate,majority_class_accuracy,accuracy_lift_vs_majority,valence_mae_score,valence_rmse_score,valence_pearson_score,valence_spearman_score,valence_true_score_std,valence_pred_score_std,valence_pred_over_true_std_ratio,valence_mae_deviation,valence_rmse_deviation,valence_pearson_deviation,valence_spearman_deviation,valence_sign_accuracy_deviation,valence_true_deviation_std,valence_pred_deviation_std,valence_pred_over_true_deviation_std_ratio,valence_mean_abs_true_deviation,valence_mean_abs_pred_deviation,arousal_mae_score,arousal_rmse_score,arousal_pearson_score,arousal_spearman_score,arousal_true_score_std,arousal_pred_score_std,arousal_pred_over_true_std_ratio,arousal_mae_deviation,arousal_rmse_deviation,arousal_pearson_deviation,arousal_spearman_deviation,arousal_sign_accuracy_deviation,arousal_true_deviation_std,arousal_pred_deviation_std,arousal_pred_over_true_deviation_std_ratio,arousal_mean_abs_true_deviation,arousal_mean_abs_pred_deviation,dimension_hamming_accuracy,both_dimensions_correct_rate,only_valence_correct_rate,only_arousal_correct_rate,neither_dimension_correct_rate,true_rate_LV_LA,pred_rate_LV_LA,true_rate_LV_HA,pred_rate_LV_HA,true_rate_HV_LA,pred_rate_HV_LA,true_rate_HV_HA,pred_rate_HV_HA
1,subject,eeg_gaussian10_oracle,valence_high_low,32,1,0.84375,0.875,0.8529411764705883,0.875,0.8423645320197044,0.8460591133004927,0.7276068751089989,0.6923076923076923,0.925,0.8816231834614188,0.375,0.53125,0.625,0.21875,0.93209280098194,1.1197807098772599,0.9021870040540587,0.8950481300824064,2.4746764308692963,2.2471407242998254,0.9080543606703155,0.93209280098194,1.1197807098772599,0.32939165223076183,0.30341920663318983,0.625,1.1175376128242858,0.20608604459360255,0.18441083524033633,0.994959677419355,0.1974657968895262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,subject,eeg_gaussian10_oracle,arousal_high_low,32,1,0.75,0.7166666666666667,0.7363636363636363,0.7166666666666667,0.722943722943723,0.7445887445887446,0.4526019054848144,0.4482758620689655,0.8041666666666667,0.6426505146899884,0.375,0.3125,0.625,0.125,,,,,,,,,,,,,,,,,,1.517043101012773,1.8256013921027312,0.6633831731794808,0.701781896881567,2.4348944407304396,1.7270092612691712,0.7092747974529768,1.517043101012773,1.8256013921027314,0.22548990392320759,0.16625423953979038,0.65625,1.8730758315387523,0.3767420387397595,0.20113549723721574,1.5544354838709677,0.35012044562399275,,,,,,,,,,,,,
1,subject,eeg_gaussian10_oracle,joint_4class_valence_arousal,32,1,0.625,0.6,0.5907738095238095,0.6,0.5815359477124182,0.6019199346405228,0.4794914216755192,0.4666666666666667,,,,,0.3125,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796875,0.625,0.21875,0.125,0.03125,0.3125,0.21875,0.3125,0.25,0.3125,0.46875,0.0625,0.0625
2,subject,eeg_gaussian10_oracle,valence_high_low,32,1,0.875,0.8947368421052632,0.8823529411764706,0.8947368421052632,0.8745098039215686,0.8759803921568627,0.7769911005144381,0.752895752895753,0.8906882591093117,0.7586653542535896,0.40625,0.53125,0.59375,0.28125,1.1721019103773291,1.5394076913016426,0.848966796893071,0.7946373871461698,2.839282204624965,2.197895444849953,0.7741024971977009,1.1721019103773291,1.5394076913016426,-0.15711398818251132,-0.1910174184250176,0.625,1.499820800408392,0.08446810153198235,0.056318795891433085,1.2086693548387097,0.12517814260771926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,subject,eeg_gaussian10_oracle,arousal_high_low,32,1,0.75,0.8181818181818181,0.7777777777777778,0.8181818181818181,0.746031746031746,0.7579365079365079,0.5945883900105632,0.5223880597014925,0.7818181818181819,0.9130567271329735,0.6875,0.4375,0.6875,0.0625,,,,,,,,,,,,,,,,,,2.1181599383009315,2.5765813016556005,0.6184694923780156,0.6612410253088158,2.3048861143232218,1.833874239830002,0.7956463568559796,2.1181599383009315,2.5765813016556005,0.1441251484506853,0.15249266862170086,0.6875,1.5829340702617387,1.2249258080333723,0.7738324868009546,2.326108870967742,1.1478461207056772,,,,,,,,,,,,,
2,subject,eeg_gaussian10_oracle,joint_4class_valence_arousal,32,1,0.6875,0.6901785714285714,0.7767857142857143,0.6901785714285714,0.6546092503987241,0.7077671451355662,0.6248060066774878,0.5767195767195767,,,,,0.4375,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8125,0.6875,0.1875,0.0625,0.0625,0.15625,0.125,0.4375,0.34375,0.15625,0.4375,0.25,0.09375
3,subject,eeg_gaussian10_oracle,valence_high_low,32,1,0.84375,0.875,0.8529411764705883,0.875,0.8423645320197044,0.8460591133004927,0.7276068751089989,0.6923076923076923,0.9875,0.9811507936507936,0.375,0.53125,0.625,0.21875,1.0124012470737123,1.124655214686715,0.907864916227262,0.900839815090056,2.6485181588012567,2.2335759087577514,0.8433304115112598,1.0124012470737123,1.124655214686715,0.30684133435637195,0.25481210327329606,0.5625,1.1803897435466537,0.35118042477826455,0.29751226380770984,1.0554435483870968,0.3127640009247874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,subject,eeg_gaussian10_oracle,arousal_high_low,32,1,0.75,0.8709677419354839,0.5555555555555556,0.8709677419354839,0.5259259259259259,0.8314814814814815,0.28711892307136966,0.152317880794702,0.967741935483871,0.5,0.03125,0.28125,0.96875,-0.21875,,,,,,,,,,,,,,,,,,1.3338498223533874,1.5997173909733127,0.5565682872670471,0.5190064807969588,1.5194057226429023,1.6464533863649198,1.0836166810665575,1.3338498223533874,1.5997173909733127,-0.12449243746521367,-0.004032258064516129,0.75,1.353914241378173,0.48724659723451913,0.359879955718748,1.645665322580645,0.7512699278877382,,,,,,,,,,,,,
3,subject,eeg_gaussian10_oracle,joint_4class_valence_arousal,32,1,0.59375,0.7616959064327485,0.453125,0.5712719298245614,0.38659951159951156,0.62129884004884,0.4724751154300347,0.3979739507959479,,,,,0.59375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796875,0.59375,0.25,0.15625,0.0,0.59375,0.21875,0.03125,0.25,0.375,0.5,0.0,0.03125
5,subject,eeg_gaussian10_oracle,valence_high_low,32,1,0.96875,0.96875,0.9705882352941176,0.96875,0.9687194525904204,0.9687194525904204,0.9393364366277243,0.9375,0.99609375,0.9963235294117647,0.5,0.53125,0.5,0.46875,1.1345662631103137,1.3838483670918897,0.8937538445759564,0.8509976523208835,2.8870332414954976,2.139034394140752,0.7409108989101839,1.134566263110314,1.3838483670918897,0.3954629512991611,0.3653863920362219,0.5625,1.4829722032698982,0.7147968485574491,0.48200286356067007,1.2268145161290325,0.627701077073311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,subject,eeg_gaussian10_oracle,arousal_high_low,32,1,0.78125,0.7976190476190477,0.8036437246963564,0.7976190476190477,0.7810361681329423,0.7801808406647116,0.6012325878048522,0.5725190839694656,0.9007936507936508,0.9374262311762311,0.5625,0.40625,0.5625,0.21875,,,,,,,,,,,,,,,,,,1.3036843618286262,1.611708964266102,0.6831591040083081,0.7405335350509643,2.0832291640623697,1.6221905687827614,0.7786904085091888,1.3036843618286262,1.611708964266102,0.11843923295157104,0.06744868035190615,0.65625,1.5102454224184472,0.5031739350601053,0.3331736203868172,1.4047379032258065,0.516394677894825,,,,,,,,,,,,,
5,subject,eeg_gaussian10_oracle,joint_4class_valence_arousal,32,1,0.75,0.6564102564102564,0.7214285714285714,0.6564102564102564,0.6656521739130434,0.7610597826086957,0.6513690178118474,0.6394366197183099,,,,,0.40625,0.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.75,0.21875,0.03125,0.0,0.09375,0.15625,0.40625,0.3125,0.34375,0.4375,0.15625,0.09375
6,subject,eeg_gaussian10_oracle,valence_high_low,32,1,0.9375,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9375,0.9375,0.8823529411764706,0.8754863813229572,0.984313725490196,0.9838235294117647,0.46875,0.53125,0.53125,0.40625,1.0351628634374757,1.1679219934360159,0.952658865697765,0.9426294386045301,3.0458732327528013,2.1905174234040246,0.7191755060086851,1.0351628634374757,1.1679219934360159,-0.21070229994751985,-0.20991842392447274,0.5625,1.1527374217875292,0.06296941487161657,0.05462598305684949,1.045866935483871,0.08169749670079499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
