target,k_calibration,model,subject_id,ref_rmse,model_rmse,rmse_improvement,rmse_worse_than_stimulus,ref_residual_rmse,model_residual_rmse,residual_rmse_improvement,residual_worse_than_stimulus,is_best_candidate
arousal,16,stimulus_plus_fewshot_bias_shrink4,25,2.1900265994374357,2.2867310208475677,-0.09670442141013202,True,2.1900265994374357,2.2867310208475677,-0.09670442141013202,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,57,2.166632480586249,2.2370631731231247,-0.07043069253687584,True,2.166632480586249,2.237063173123125,-0.07043069253687628,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,63,2.1826475464845023,2.2526484881952547,-0.07000094171075233,True,2.1826475464845023,2.2526484881952547,-0.07000094171075233,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,62,2.092926447829683,2.1612384728373737,-0.06831202500769074,True,2.092926447829683,2.1612384728373737,-0.06831202500769074,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,1,1.8757326005488375,1.941476128053407,-0.06574352750456947,True,1.8757326005488375,1.941476128053407,-0.06574352750456947,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,10,1.7173703785641623,1.7789151478212115,-0.061544769257049214,True,1.7173703785641623,1.7789151478212115,-0.061544769257049214,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,21,1.6322030782527182,1.6920493528904723,-0.05984627463775416,True,1.6322030782527182,1.6920493528904723,-0.05984627463775416,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,54,1.6993827114266935,1.7564813417609122,-0.05709863033421869,True,1.6993827114266935,1.7564813417609122,-0.05709863033421869,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,46,1.9311611674675555,1.987555826233805,-0.056394658766249384,True,1.9311611674675555,1.9875558262338044,-0.05639465876624894,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,50,1.3913277090479512,1.4421519444043405,-0.05082423535638925,True,1.3913277090479512,1.4421519444043405,-0.05082423535638925,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,24,1.48257196823593,1.5305422338052284,-0.0479702655692984,True,1.48257196823593,1.5305422338052284,-0.0479702655692984,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,38,1.3992196939083654,1.4458039775568647,-0.046584283648499314,True,1.3992196939083654,1.4458039775568647,-0.046584283648499314,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,43,1.8068903377094596,1.8447674607551996,-0.03787712304573998,True,1.8068903377094596,1.8447674607551996,-0.03787712304573998,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,16,1.3937183709424947,1.430636205739872,-0.036917834797377314,True,1.3937183709424947,1.430636205739872,-0.036917834797377314,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,35,1.552764938493383,1.58594909883473,-0.03318416034134697,True,1.552764938493383,1.58594909883473,-0.03318416034134697,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,64,1.5094466023232982,1.538160417750246,-0.02871381542694773,True,1.5094466023232982,1.538160417750246,-0.02871381542694773,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,32,1.2891028761453294,1.3169914169916828,-0.027888540846353393,True,1.2891028761453294,1.3169914169916828,-0.027888540846353393,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,30,0.956852374832003,0.97814847412597,-0.02129609929396692,True,0.956852374832003,0.97814847412597,-0.02129609929396692,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,22,2.2019212090640568,2.2204023075533263,-0.0184810984892696,True,2.2019212090640568,2.2204023075533263,-0.0184810984892696,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,52,2.018432152260223,2.036849729132878,-0.018417576872655328,True,2.018432152260223,2.0368497291328778,-0.018417576872654884,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,39,2.042019248651355,2.060027973758243,-0.018008725106888335,True,2.042019248651355,2.060027973758243,-0.018008725106888335,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,44,2.461961855606203,2.479157584796688,-0.017195729190484954,True,2.461961855606203,2.479157584796688,-0.017195729190484954,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,48,1.3047018848475165,1.3200910835668087,-0.01538919871929223,True,1.3047018848475165,1.3200910835668087,-0.01538919871929223,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,18,2.2144458644257767,2.22291507795699,-0.008469213531213438,True,2.2144458644257767,2.22291507795699,-0.008469213531213438,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,45,1.5219490856302589,1.5257629667557162,-0.00381388112545733,True,1.5219490856302589,1.5257629667557162,-0.00381388112545733,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,15,1.6951581251313257,1.6984668430486018,-0.0033087179172761605,True,1.6951581251313257,1.6984668430486018,-0.0033087179172761605,True,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,37,1.579093729239403,1.5729285553942396,0.006165173845163352,False,1.579093729239403,1.5729285553942396,0.006165173845163352,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,53,1.1178085559441453,1.1060596753037273,0.011748880640418013,False,1.1178085559441453,1.1060596753037273,0.011748880640418013,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,29,1.4303522584477637,1.399660439672414,0.030691818775349766,False,1.4303522584477637,1.399660439672414,0.030691818775349766,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,11,2.026535642212376,1.987882504145092,0.0386531380672841,False,2.026535642212376,1.987882504145092,0.0386531380672841,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,47,2.441804445284562,2.3937429156045065,0.048061529680055504,False,2.441804445284562,2.3937429156045065,0.048061529680055504,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,34,1.370932162726182,1.321999373766029,0.04893278896015296,False,1.370932162726182,1.321999373766029,0.04893278896015296,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,36,1.6137422213029615,1.5600248939504322,0.05371732735252932,False,1.6137422213029615,1.5600248939504322,0.05371732735252932,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,12,1.330165480500486,1.2693675425646211,0.060797937935864965,False,1.330165480500486,1.2693675425646211,0.060797937935864965,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,56,1.4504419560416728,1.3821648559871251,0.06827710005454768,False,1.4504419560416728,1.3821648559871251,0.06827710005454768,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,31,2.3482477221801465,2.266326123618402,0.08192159856174452,False,2.3482477221801465,2.266326123618402,0.08192159856174452,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,40,2.919191928710636,2.8291908059629463,0.09000112274768979,False,2.919191928710636,2.8291908059629463,0.09000112274768979,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,17,1.443007647866153,1.3529575818414363,0.09005006602471677,False,1.443007647866153,1.3529575818414363,0.09005006602471677,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,33,1.7088498453534822,1.616351320348037,0.09249852500544509,False,1.7088498453534822,1.616351320348037,0.09249852500544509,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,27,1.535350762562059,1.3889424997313005,0.14640826283075858,False,1.535350762562059,1.3889424997313005,0.14640826283075858,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,61,1.8649160854374132,1.7143593427007382,0.15055674273667496,False,1.8649160854374132,1.7143593427007382,0.15055674273667496,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,5,1.7548362080449436,1.5880598556411074,0.16677635240383615,False,1.7548362080449436,1.5880598556411076,0.16677635240383593,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,9,2.170411362822948,1.994552931688576,0.17585843113437227,False,2.170411362822948,1.994552931688576,0.17585843113437227,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,8,1.9187893074403857,1.7163055851078577,0.20248372233252798,False,1.9187893074403857,1.7163055851078577,0.20248372233252798,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,60,2.415655774314542,2.1967205634174083,0.21893521089713364,False,2.415655774314542,2.1967205634174083,0.21893521089713364,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,65,2.0286826907965585,1.803927423068265,0.22475526772829357,False,2.0286826907965585,1.8039274230682647,0.2247552677282938,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,23,1.444426656596007,1.2165295603111426,0.22789709628486454,False,1.444426656596007,1.2165295603111426,0.22789709628486454,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,26,2.097570800909544,1.80343527964893,0.29413552126061426,False,2.097570800909544,1.80343527964893,0.29413552126061426,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,20,1.6061071539303806,1.301935555054907,0.3041715988754736,False,1.6061071539303806,1.301935555054907,0.3041715988754736,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,19,1.8649160854374132,1.5489256739321888,0.31599041150522433,False,1.8649160854374132,1.5489256739321888,0.31599041150522433,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,7,1.6252851346734931,1.3003402416604992,0.3249448930129939,False,1.6252851346734931,1.3003402416604992,0.3249448930129939,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,59,2.058506247467732,1.719248268046247,0.33925797942148495,False,2.058506247467732,1.719248268046247,0.33925797942148495,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,58,1.5841130079171235,1.2105277857865513,0.3735852221305722,False,1.5841130079171235,1.2105277857865513,0.3735852221305722,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,28,1.736794234893714,1.3444927852914763,0.3923014496022377,False,1.736794234893714,1.3444927852914763,0.3923014496022377,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,3,1.8533457350509737,1.4281042256223369,0.4252415094286368,False,1.8533457350509737,1.4281042256223369,0.4252415094286368,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,49,2.3836409706151227,1.7843662792894994,0.5992746913256233,False,2.3836409706151227,1.7843662792894994,0.5992746913256233,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,14,1.7966571854818605,0.925726236760436,0.8709309487214245,False,1.7966571854818605,0.925726236760436,0.8709309487214245,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,42,2.6523340250498326,1.7725021483103562,0.8798318767394764,False,2.6523340250498326,1.7725021483103562,0.8798318767394764,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,41,2.4690247430071826,1.5828780917872156,0.8861466512199669,False,2.4690247430071826,1.5828780917872158,0.8861466512199667,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,13,2.4172453841384,1.5072755256673394,0.9099698584710607,False,2.4172453841384,1.5072755256673394,0.9099698584710607,False,True
arousal,16,stimulus_plus_fewshot_bias_shrink4,2,2.7325131631493744,1.6790585295115517,1.0534546336378228,False,2.7325131631493744,1.6790585295115517,1.0534546336378228,False,True
