target,subset,n_subjects,n_stimuli_per_subject,n_trials,n,mae,rmse,pearson,spearman,accuracy,balanced_accuracy,macro_f1,auroc,deviation_std,mean_abs_deviation,rmse_zero_deviation,prop_abs_dev_ge_1p0,prop_abs_dev_ge_2p0,positive_deviation_rate
valence,top25_train_score_std,63,8,504,504,1.0547875064004097,1.2971505530737022,0.7377818837811864,0.6314972032763382,0.8075396825396826,0.8086141732283465,0.8042843817431373,0.8328818897637795,1.2971442858195508,1.0547875064004097,1.2971505530737022,0.4246031746031746,0.12103174603174603,0.4662698412698413
valence,top25_train_entropy,63,8,504,504,1.0589157706093189,1.3230693666365962,0.33188232475446056,0.2667050643714082,0.7182539682539683,0.6663742640732806,0.6727152996268384,0.7117528973160816,1.3219648212718893,1.0589157706093189,1.3230693666365962,0.4166666666666667,0.12301587301587301,0.4603174603174603
arousal,top25_train_score_std,63,8,504,504,1.910426267281106,2.2739644157974346,0.38132695071800077,0.3026940215591803,0.7063492063492064,0.649796195652174,0.6552731306035677,0.6181131114130435,2.273886292612929,1.910426267281106,2.2739644157974346,0.7321428571428571,0.42658730158730157,0.5079365079365079
arousal,top25_train_entropy,63,8,504,504,1.7458397337429596,2.076382289254385,0.3926516352461903,0.26743437365520734,0.6884920634920635,0.6474393082806784,0.6510972657645144,0.6043897572331227,2.0760091529690836,1.7458397337429594,2.076382289254385,0.6924603174603174,0.40476190476190477,0.5515873015873016
