epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
1,0.44232330495311367,0.962451101952033,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4311377055221988,0.9530703604931176,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.41953957561523686,0.9383417455823609,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.40153725637543586,0.9640784635495201,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.3935952614392004,0.9706805485366442,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.3651282155225354,1.0545692996051605,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.3344628685905087,1.0763660194589189,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.44046252773654077,1.504905727211346,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4254683196063965,1.4339737728561255,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4211407337457903,1.5064336763674269,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.41318415129376995,1.5723303981681582,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
