target,subject_r2_on_residual,stimulus_r2_on_residual,subject_split_half_pearson_median,zero_shot_best_candidate_pooled_lift,fewshot_best_lift_vs_stimulus,fewshot_mean_subject_improvement,phys_after_fewshot_best_lift,model_family_lift_vs_locked,model_family_ci95_low,model_family_signflip_p,model_family_win_margin,personalization_prior_decision,personalization_prior_fewshot_best_k
arousal,0.2691764326977258,3.0973951039380484e-33,0.8478204734856847,-0.002162873744826,0.210978608650781,0.1949205839792886,-0.0008021310689463,0.0766937994879697,0.046819978646512,4.999750012499375e-05,31.0,PIVOT_TO_PERSONALIZATION_FEWSHOT,16.0
valence,0.0927771611219026,7.448844407039957e-33,0.5493548399721158,-0.0013784622270007,0.0147426851516412,0.016498685123133,-0.0011507356427034,0.086929271477254,0.0567690454354153,4.999750012499375e-05,23.0,PIVOT_TO_PERSONALIZATION_FEWSHOT,16.0
