target,subset,subject_style_split_half_mean_r,subject_style_split_half_median_r,subject_style_split_half_p10_r,subject_style_split_half_p90_r,subject_style_split_half_n_valid,shared_stimulus_residual_split_half_mean_r,shared_stimulus_residual_split_half_median_r,shared_stimulus_residual_split_half_p10_r,shared_stimulus_residual_split_half_p90_r,shared_stimulus_residual_split_half_n_valid,n_rows_used,n_subjects_used,n_stimuli_used
arousal,all_trials,0.8432316375671187,0.8438419261786094,0.8081599540817285,0.8771832832171407,1000,-1.0,-1.0,-1.0,-0.9999999999999997,1000,2016,63,32
arousal,high_disagreement_abs_residual_q75_or_05ajb,0.7812443317771156,0.7857951188844964,0.7218935397680339,0.8335147416204123,500,0.8751509512146085,0.8837538952574284,0.8186206270193429,0.9262951889549887,500,508,63,32
valence,all_trials,0.5312172780409428,0.5320506988456233,0.4438141669887588,0.6160221514487346,1000,-1.0,-1.0,-1.0,-0.9999999999999998,1000,2016,63,32
valence,high_disagreement_abs_residual_q75_or_05ajb,0.39829189564763073,0.39802029598946875,0.31048476267287134,0.48707619670206764,500,0.7627248397441191,0.7715071459428162,0.6534979193796464,0.8563769628389063,500,505,63,32
