target,k_calibration,model,subject_id,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,residual_rmse,residual_mae
arousal,0,stimulus_only,1,32,1.5544354838709677,1.8757326005488377,0.6396747039031424,0.6336280762871853,0.591079851242668,4.40625,2.4348944407304396,4.306451612903226,1.6326014875239936,0.09979838709677412,1.8730758315387523,1.8757326005488377,1.5544354838709677
arousal,0,stimulus_only,2,32,2.326108870967742,2.7325131631493744,0.7271361956690021,0.7829385631311458,0.42266217010456714,6.5,2.3048861143232218,4.272681451612903,1.6307697904686218,2.2273185483870965,1.5829340702617387,2.7325131631493744,2.326108870967742
arousal,0,stimulus_only,3,32,1.645665322580645,1.8533457350509737,0.6357247908214484,0.6344455352961016,0.4801594393110361,3.0625,1.5194057226429023,4.328125,1.64231059042618,-1.265625,1.353914241378173,1.8533457350509737,1.645665322580645
arousal,0,stimulus_only,5,32,1.4047379032258065,1.7548362080449436,0.6946450633141555,0.7385488473019087,0.6057032951047436,5.1875,2.0832291640623697,4.293850806451613,1.634481336683944,0.893649193548387,1.5102454224184472,1.7548362080449436,1.4047379032258065
arousal,0,stimulus_only,6,32,3.337701612903226,3.7325121194933057,0.3170827001100329,0.38138344258506085,0.09466720235279265,7.53125,1.39159025488827,4.256048387096774,1.6507443513068545,3.2752016129032255,1.790167901902087,3.7325121194933057,3.337701612903226
arousal,0,stimulus_only,7,32,1.3487903225806452,1.6252851346734933,0.664034725547573,0.6860438597275036,0.42976028247690273,3.28125,0.909477013178453,4.324596774193548,1.6482209352998989,-1.0433467741935485,1.2461858921407156,1.6252851346734933,1.3487903225806452
arousal,0,stimulus_only,8,32,1.7182459677419355,1.9187893074403857,0.7647247061481831,0.7852355977697068,0.6275582319326556,3.3125,2.4929588343973914,4.324092741935484,1.6270466548631377,-1.0115927419354838,1.630470033705313,1.9187893074403857,1.7182459677419355
arousal,0,stimulus_only,9,32,1.6965725806451613,2.170411362822948,0.4570923493746102,0.46956461195453625,0.38491407323313337,5.34375,1.96229099205495,4.29133064516129,1.643292035292091,1.0524193548387095,1.898183074793325,2.170411362822948,1.6965725806451613
arousal,0,stimulus_only,10,32,1.4380040322580645,1.7173703785641625,0.7545455569743079,0.6583096352466759,0.681165922336731,4.1875,2.567069097239106,4.309979838709678,1.6265338073463327,-0.12247983870967742,1.7129972872947774,1.7173703785641625,1.4380040322580645
arousal,0,stimulus_only,11,32,1.6718749999999998,2.026535642212376,0.4276580639736072,0.4359750912602661,0.3926659461331032,5.0,1.8874586088176875,4.296875,1.6447504002176132,0.703125,1.9006477694544373,2.026535642212376,1.6718749999999998
arousal,0,stimulus_only,12,32,1.0922379032258065,1.3301654805004859,0.6670130773110609,0.6063847547898518,0.5895021197479596,4.8125,1.1575161985907585,4.299899193548387,1.6454867017620436,0.5126008064516129,1.2274284576871453,1.3301654805004859,1.0922379032258065
arousal,0,stimulus_only,13,32,2.081149193548387,2.4172453841383996,0.555088672893651,0.4724337435465743,0.28013380840659313,2.375,1.243734296383275,4.33921370967742,1.6467787568605616,-1.9642137096774195,1.4088788982214433,2.4172453841383996,2.081149193548387
arousal,0,stimulus_only,14,32,1.610383064516129,1.7966571854818605,0.8654060605055738,0.8158786083038903,0.5896991565968757,2.75,1.6393596310755,4.333165322580645,1.6350625440259345,-1.5831653225806452,0.8494495885699882,1.7966571854818605,1.610383064516129
arousal,0,stimulus_only,15,32,1.4349798387096775,1.6951581251313257,0.6843964811202883,0.6838954529864433,0.6327118970324376,3.8125,2.214123697989794,4.316028225806451,1.6333525202781025,-0.5035282258064515,1.6186477056527646,1.6951581251313257,1.4349798387096775
arousal,0,stimulus_only,16,32,1.1154233870967742,1.3937183709424947,0.8490714537900502,0.7851188280071603,0.7766475824489384,4.0625,2.4486922530199666,4.311995967741936,1.6243325360925709,-0.2494959677419355,1.371204820434612,1.3937183709424947,1.1154233870967742
arousal,0,stimulus_only,17,32,1.1703629032258065,1.443007647866153,0.8494711265706565,0.8058567055675556,0.7589941655334351,3.71875,2.3747943989954163,4.317540322580646,1.6253373414156536,-0.5987903225806452,1.3129056407007988,1.443007647866153,1.1703629032258065
arousal,0,stimulus_only,18,32,1.862399193548387,2.2144458644257767,0.7211949002894917,0.6891756144226439,0.5862598768217002,4.9375,2.9679275176459416,4.29788306451613,1.6231428211835852,0.639616935483871,2.1200614760696554,2.2144458644257767,1.862399193548387
arousal,0,stimulus_only,19,32,1.4783266129032255,1.8649160854374134,0.67305688302963,0.7573562085836922,0.5508004770128475,5.4375,1.9354828209002528,4.289818548387097,1.6368260362049833,1.147681451612903,1.4699453361764527,1.8649160854374134,1.4783266129032255
arousal,0,stimulus_only,20,32,1.2222782258064515,1.6061071539303806,0.8174181670963804,0.8295778754427827,0.6887310952788871,5.3125,2.1423920626253263,4.291834677419355,1.6296327910122985,1.020665322580645,1.2400897101370107,1.6061071539303806,1.2222782258064515
arousal,0,stimulus_only,21,32,1.277217741935484,1.6322030782527182,0.8430035229501304,0.7285661711621355,0.7379262719707491,4.34375,2.745557491202834,4.307459677419355,1.620495926660126,0.03629032258064516,1.631799589761145,1.6322030782527182,1.277217741935484
arousal,0,stimulus_only,22,32,1.9672379032258065,2.2019212090640568,0.7363599371429027,0.6965022133087162,0.5992353607517777,3.8125,3.0355961111452228,4.316028225806452,1.621613874668233,-0.5035282258064516,2.143575596227557,2.2019212090640568,1.9672379032258065
arousal,0,stimulus_only,23,32,1.2278225806451613,1.4444266565960073,0.8378042177970356,0.8186251100740446,0.7339550447883116,5.15625,2.108159371940366,4.294354838709678,1.629406496457281,0.8618951612903224,1.1590966729438268,1.4444266565960073,1.2278225806451613
arousal,0,stimulus_only,24,32,1.310483870967742,1.48257196823593,0.884284626195384,0.8455977263856485,0.7790914999650712,4.28125,2.706870598587971,4.308467741935484,1.6192654257380519,-0.027217741935483875,1.4823221092336485,1.48257196823593,1.310483870967742
arousal,0,stimulus_only,25,32,1.7767137096774193,2.1900265994374353,0.7183776736175677,0.7140056976931781,0.5964710806999016,4.25,3.0413812651491097,4.308971774193548,1.6224070271970636,-0.05897177419354839,2.18923247648393,2.1900265994374353,1.7767137096774193
arousal,0,stimulus_only,26,32,1.861391129032258,2.0975708009095437,0.6921782162668518,0.7032390754941981,0.5500166079740723,3.125,2.381569860407206,4.327116935483871,1.631177894570375,-1.202116935483871,1.7189293581328962,2.0975708009095437,1.861391129032258
arousal,0,stimulus_only,27,32,1.2263104838709675,1.535350762562059,0.6857768600850156,0.6533032970651478,0.6202442042179299,5.0625,1.71277370075559,4.29586693548387,1.6389311656529597,0.766633064516129,1.3302540014938895,1.535350762562059,1.2263104838709675
arousal,0,stimulus_only,28,32,1.3870967741935485,1.736794234893714,0.8523115608810486,0.7439674769942559,0.6831198156012985,3.15625,2.346664854106781,4.326612903225806,1.625620229030218,-1.1703629032258065,1.2832399966930983,1.736794234893714,1.3870967741935485
arousal,0,stimulus_only,29,32,1.0892137096774195,1.4303522584477637,0.7663483928825857,0.7911927673763665,0.7180842706934527,3.8125,2.0832291640623697,4.316028225806452,1.6321077413038991,-0.5035282258064517,1.3387930792556502,1.4303522584477637,1.0892137096774195
arousal,0,stimulus_only,30,32,0.7550403225806451,0.956852374832003,0.8934739322809535,0.8682985705758665,0.8680754224554206,4.34375,2.0707694071286644,4.307459677419355,1.628088483700141,0.03629032258064514,0.9561639397658944,0.956852374832003,0.7550403225806451
