target,block,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_fewshot_accuracy,lift_vs_fewshot_balanced_accuracy,lift_vs_fewshot_macro_f1,lift_vs_fewshot_auroc,fewshot_reference_model
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,midpoint_as_low,2240,0.7223214285714286,0.7340538968992805,0.7207880331315716,0.8106848079529602,1329,911,0.40669642857142857,0.5191964285714286,0.03928571428571426,0.04570920254823785,0.04095397829751668,0.053807696088027046,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,midpoint_as_high,2240,0.7138392857142857,0.713428053802162,0.7134458562866627,0.7939566661031707,1102,1138,0.5080357142857143,0.5290178571428571,0.020535714285714213,0.020110423929650345,0.020174622931583674,0.03356535010637307,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,discard_midpoint,2013,0.7461500248385494,0.7505503415604001,0.7459933145153345,0.8306302680885567,1102,911,0.4525583705911575,0.5226030799801291,0.035270740188772964,0.03915842067411612,0.036233183076162745,0.04836431515595829,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,midpoint_as_low,2240,0.71875,0.7301809916256373,0.7171590194846009,0.8183170496209278,1329,911,0.40669642857142857,0.5183035714285714,0.0357142857142857,0.0418362972745947,0.03732496465054602,0.061439937755994656,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,midpoint_as_high,2240,0.7191964285714286,0.718958819082735,0.7190014836105805,0.8041705606358786,1102,1138,0.5080357142857143,0.5183035714285714,0.025892857142857162,0.025641189210223292,0.025730250255501463,0.043779244639080894,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,discard_midpoint,2013,0.7436661698956781,0.7478061044583144,0.7434746702018995,0.8395692095601053,1102,911,0.4525583705911575,0.5201192250372578,0.032786885245901676,0.03641418357203041,0.033714538762727786,0.057303256627506904,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,2240,0.6830357142857143,0.6883446943510426,0.6798340548340549,0.7568771118649331,1329,911,0.40669642857142857,0.49330357142857145,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,2240,0.6933035714285715,0.6933176298725117,0.693271233355079,0.7603913159967977,1102,1138,0.5080357142857143,0.5022321428571429,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,2013,0.7108792846497765,0.711391920886284,0.7097601314391717,0.7822659529325984,1102,911,0.4525583705911575,0.4853452558370591,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,midpoint_as_low,2240,0.6848214285714286,0.690194834639582,0.6816378066378066,0.7684921108861759,1329,911,0.40669642857142857,0.49330357142857145,0.0017857142857142794,0.0018501402885393592,0.0018037518037516964,0.011614999021242745,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,midpoint_as_high,2240,0.703125,0.7032851278550901,0.7031244674984469,0.7753860212618693,1102,1138,0.5080357142857143,0.49330357142857145,0.009821428571428537,0.009967497982578455,0.009853234143367917,0.014994705265071628,stimulus_plus_fewshot_bias_shrink4
