path,extension,size_kb,csv_columns,csv_rows_sampled,metric_summary_sample,unique_target_sample,unique_model_sample,unique_arch_config_sample,unique_arch_description_sample,unique_test_subject_sample,unique_fold_sample,unique_task_sample,unique_policy_sample,unique_subject_id_sample,unique_recipe_sample
docs/roca/eeg_oracle_arch_ablation_valence_current_predictions.csv,.csv,10946.77,"test_subject, stimulus_id, target, augmentation_config, model, y_true_score, train_stimulus_mean, true_deviation_from_train_stimulus_mean, y_pred_deviation_raw, y_pred_score_raw, y_pred_score_clipped, y_pred_deviation_clipped, arch_config, arch_description",5000,"y_true_score: min=1, mean=4.9028, max=9 || y_pred_score_raw: min=0.338493, mean=4.91037, max=8.73736 || y_pred_score_clipped: min=1, mean=4.91069, max=8.73736",valence,"stimulus_only, eeg_oracle_arch_A0_current","A0_current, A1_low_dropout","Current model config: lite + GN + concat stem + learnable channel position + MHA mixer., Same as current, but lower regularization. Tests underfitting.","1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",,,,,
docs/roca/eeg_oracle_arch_ablation_arousal_current_predictions.csv,.csv,10911.93,"test_subject, stimulus_id, target, augmentation_config, model, y_true_score, train_stimulus_mean, true_deviation_from_train_stimulus_mean, y_pred_deviation_raw, y_pred_score_raw, y_pred_score_clipped, y_pred_deviation_clipped, arch_config, arch_description",5000,"y_true_score: min=1, mean=4.3234, max=9 || y_pred_score_raw: min=-0.340153, mean=4.2757, max=8.81516 || y_pred_score_clipped: min=1, mean=4.27659, max=8.81516",arousal,"stimulus_only, eeg_oracle_arch_A0_current","A0_current, A1_low_dropout","Current model config: lite + GN + concat stem + learnable channel position + MHA mixer., Same as current, but lower regularization. Tests underfitting.","1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",,,,,
docs/idare_label_semantics_alternative_pairwise_feature_representation_patch_first_pass_predictions.csv,.csv,40587.58,"objective_run_id, feature_set_id, model, fold, subject, left_index, right_index, y_true, y_pred, score",5000,,,random_balanced_no_training,,,,"1, 2",,,,
docs/roca/idare_representation_learning_feasibility_gate_current_experiment_backlog.csv,.csv,1.38,"priority, experiment_id, title, input_representation, model_family, target, evaluation_gate, success_condition",4,,"arousal deviation on high-disagreement trials, rating minus stimulus mean / residual correction, pretrained representation for downstream residual/deviation prediction, detect trials where locked personalization is likely wrong",,,,,,,,,
docs/roca/eeg_oracle_arch_ablation_valence_current_fold_summary.csv,.csv,382.97,"augmentation_config, target, model, test_subject, n, mae, rmse, pearson, spearman, balanced_accuracy, macro_f1, auroc, dev_mae, dev_rmse, dev_pearson, dev_spearman, dev_sign_acc, true_dev_mean, true_dev_std, pred_dev_mean, pred_dev_std, best_epoch, best_val_rmse_scaled, fit_subjects, val_subjects, outer_train_subjects, y_outer_mean, y_outer_std, final_train_last_loss, oracle_test_checkpoint_selection, arch_config, arch_description",756,"mae: min=0.57745, mean=0.975646, max=1.56482 || rmse: min=0.719992, mean=1.19394, max=1.82842 || pearson: min=0.703227, mean=0.891883, max=0.968661 || balanced_accuracy: min=0.777328, mean=0.885486, max=1 || macro_f1: min=0.740891, mean=0.863919, max=1 || dev_mae: min=0.57745, mean=0.975646, max=1.56482 || dev_rmse: min=0.719992, mean=1.19394, max=1.82842 || dev_pearson: min=-0.509747, mean=0.0861901, max=0.598184 || dev_sign_acc: min=0.34375, mean=0.592138, max=0.90625 || best_val_rmse_scaled: min=0.580846, mean=0.949985, max=1.46655 || final_train_last_loss: min=0.0293808, mean=0.136138, max=0.315236",valence,"eeg_oracle_arch_A0_current, eeg_oracle_arch_A1_low_dropout, eeg_oracle_arch_A2_high_dropout, eeg_oracle_arch_A3_batchnorm, eeg_oracle_arch_A4_stem_sum, eeg_oracle_arch_A5_stem_attn, eeg_oracle_arch_A6_stem_moe, eeg_oracle_arch_A7_no_channel_mha, eeg_oracle_arch_A8_no_channel_pos, eeg_oracle_arch_A9_base_capacity, eeg_oracle_arch_A10_lr_low, eeg_oracle_arch_A11_lr_high","A0_current, A1_low_dropout, A2_high_dropout, A3_batchnorm, A4_stem_sum, A5_stem_attn, A6_stem_moe, A7_no_channel_mha, A8_no_channel_pos, A9_base_capacity, A10_lr_low, A11_lr_high","Current model config: lite + GN + concat stem + learnable channel position + MHA mixer., Same as current, but lower regularization. Tests underfitting., Same as current, but higher regularization. Tests overfitting/noisy checkpointing., Swap GroupNorm to BatchNorm inside temporal blocks/stem., Use sum fusion for temporal branches instead of concat projection., Use learned attention over temporal branches., Use lightweight MoE-style gate over temporal branches., Disable channel self-attention mixer. Tests whether MHA is noisy/overfitting., Disable learned channel identity embedding., Use base encoder capacity instead of lite. Tests undercapacity vs overfitting., Current architecture with lower LR=3e-5., Current architecture with higher LR=3e-4.","1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",,,,,
docs/roca/eeg_oracle_arch_ablation_arousal_current_fold_summary.csv,.csv,381.06,"augmentation_config, target, model, test_subject, n, mae, rmse, pearson, spearman, balanced_accuracy, macro_f1, auroc, dev_mae, dev_rmse, dev_pearson, dev_spearman, dev_sign_acc, true_dev_mean, true_dev_std, pred_dev_mean, pred_dev_std, best_epoch, best_val_rmse_scaled, fit_subjects, val_subjects, outer_train_subjects, y_outer_mean, y_outer_std, final_train_last_loss, oracle_test_checkpoint_selection, arch_config, arch_description",756,"mae: min=0.717855, mean=1.47428, max=3.30745 || rmse: min=0.904248, mean=1.77723, max=3.7171 || pearson: min=0.124572, mean=0.697084, max=0.927676 || balanced_accuracy: min=0.316667, mean=0.806484, max=0.979167 || macro_f1: min=0.287381, mean=0.760606, max=0.964563 || dev_mae: min=0.717855, mean=1.47428, max=3.30745 || dev_rmse: min=0.904248, mean=1.77723, max=3.7171 || dev_pearson: min=-0.590126, mean=0.0744371, max=0.558786 || dev_sign_acc: min=0.09375, mean=0.624504, max=1 || best_val_rmse_scaled: min=0.462177, mean=0.915677, max=1.95516 || final_train_last_loss: min=0.0484999, mean=0.254036, max=0.408537",arousal,"eeg_oracle_arch_A0_current, eeg_oracle_arch_A1_low_dropout, eeg_oracle_arch_A2_high_dropout, eeg_oracle_arch_A3_batchnorm, eeg_oracle_arch_A4_stem_sum, eeg_oracle_arch_A5_stem_attn, eeg_oracle_arch_A6_stem_moe, eeg_oracle_arch_A7_no_channel_mha, eeg_oracle_arch_A8_no_channel_pos, eeg_oracle_arch_A9_base_capacity, eeg_oracle_arch_A10_lr_low, eeg_oracle_arch_A11_lr_high","A0_current, A1_low_dropout, A2_high_dropout, A3_batchnorm, A4_stem_sum, A5_stem_attn, A6_stem_moe, A7_no_channel_mha, A8_no_channel_pos, A9_base_capacity, A10_lr_low, A11_lr_high","Current model config: lite + GN + concat stem + learnable channel position + MHA mixer., Same as current, but lower regularization. Tests underfitting., Same as current, but higher regularization. Tests overfitting/noisy checkpointing., Swap GroupNorm to BatchNorm inside temporal blocks/stem., Use sum fusion for temporal branches instead of concat projection., Use learned attention over temporal branches., Use lightweight MoE-style gate over temporal branches., Disable channel self-attention mixer. Tests whether MHA is noisy/overfitting., Disable learned channel identity embedding., Use base encoder capacity instead of lite. Tests undercapacity vs overfitting., Current architecture with lower LR=3e-5., Current architecture with higher LR=3e-4.","1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",,,,,
docs/roca/eeg_oracle_arch_ablation_arousal_smoke_current_fold_summary.csv,.csv,4.99,"augmentation_config, target, model, test_subject, n, mae, rmse, pearson, spearman, balanced_accuracy, macro_f1, auroc, dev_mae, dev_rmse, dev_pearson, dev_spearman, dev_sign_acc, true_dev_mean, true_dev_std, pred_dev_mean, pred_dev_std, best_epoch, best_val_rmse_scaled, fit_subjects, val_subjects, outer_train_subjects, y_outer_mean, y_outer_std, final_train_last_loss, oracle_test_checkpoint_selection, arch_config, arch_description",9,"mae: min=1.05731, mean=1.59806, max=2.29844 || rmse: min=1.36086, mean=1.93855, max=2.70714 || pearson: min=0.615356, mean=0.676036, max=0.738844 || balanced_accuracy: min=0.716667, mean=0.784083, max=0.903226 || macro_f1: min=0.506003, mean=0.645723, max=0.722944 || dev_mae: min=1.05731, mean=1.59806, max=2.29844 || dev_rmse: min=1.36086, mean=1.93855, max=2.70714 || dev_pearson: min=-0.287181, mean=0.179725, max=0.427018 || dev_sign_acc: min=0.53125, mean=0.732639, max=0.8125 || best_val_rmse_scaled: min=0.699342, mean=1.00164, max=1.4035 || final_train_last_loss: min=0.196244, mean=0.329024, max=0.426561",arousal,"eeg_oracle_arch_A0_current, eeg_oracle_arch_A7_no_channel_mha, eeg_oracle_arch_A5_stem_attn","A0_current, A7_no_channel_mha, A5_stem_attn","Current model config: lite + GN + concat stem + learnable channel position + MHA mixer., Disable channel self-attention mixer. Tests whether MHA is noisy/overfitting., Use learned attention over temporal branches.","1, 2, 3",,,,,
docs/roca/idare_subject_calibration_model_family_confirmatory_stats_current_model_family_curve.csv,.csv,38.68,"target, k_calibration, model, locked_reference_model, subjects, candidate_rmse_pooled, locked_reference_rmse_pooled, pooled_lift_vs_locked_reference_rmse, lift_vs_stimulus_rmse, mean_subject_improvement_locked_minus_model, median_subject_improvement_locked_minus_model, ci95_low_mean_subject_improvement, ci95_high_mean_subject_improvement, signflip_p_one_sided_mean_gt_zero, wins, losses, ties, win_margin, sign_test_p_one_sided_wins_gt_losses, passes_confirmatory_metric, pearson, spearman, ccc",132,"candidate_rmse_pooled: min=1.15919, mean=1.62686, max=2.39441 || locked_reference_rmse_pooled: min=1.24612, mean=1.5354, max=1.9442 || pooled_lift_vs_locked_reference_rmse: min=-0.589862, mean=-0.091455, max=0.0869293 || lift_vs_stimulus_rmse: min=-0.600478, mean=-0.0258465, max=0.288276 || losses: min=0, mean=39.7045, max=63 || sign_test_p_one_sided_wins_gt_losses: min=3.05414e-09, mean=0.719342, max=1 || pearson: min=0.548423, mean=0.758792, max=0.887973 || ccc: min=0.548383, mean=0.742536, max=0.881367","arousal, valence","kernel_residual_shrink4, affine_residual_ridge4, affine_residual_ridge1, bias_shrink4, stimulus_only, bias_empirical_bayes, bias_shrink2, bias_shrink1, bias_mean, bias_shrink8, bias_huber, bias_trimmed_mean, bias_median",,,,,,,,
docs/roca/idare_subject_calibration_model_family_confirmatory_stats_current_paired_subject_stats.csv,.csv,38.68,"target, k_calibration, model, locked_reference_model, subjects, candidate_rmse_pooled, locked_reference_rmse_pooled, pooled_lift_vs_locked_reference_rmse, lift_vs_stimulus_rmse, mean_subject_improvement_locked_minus_model, median_subject_improvement_locked_minus_model, ci95_low_mean_subject_improvement, ci95_high_mean_subject_improvement, signflip_p_one_sided_mean_gt_zero, wins, losses, ties, win_margin, sign_test_p_one_sided_wins_gt_losses, passes_confirmatory_metric, pearson, spearman, ccc",132,"candidate_rmse_pooled: min=1.15919, mean=1.62686, max=2.39441 || locked_reference_rmse_pooled: min=1.24612, mean=1.5354, max=1.9442 || pooled_lift_vs_locked_reference_rmse: min=-0.589862, mean=-0.091455, max=0.0869293 || lift_vs_stimulus_rmse: min=-0.600478, mean=-0.0258465, max=0.288276 || losses: min=0, mean=39.7045, max=63 || sign_test_p_one_sided_wins_gt_losses: min=3.05414e-09, mean=0.719342, max=1 || pearson: min=0.548423, mean=0.758792, max=0.887973 || ccc: min=0.548383, mean=0.742536, max=0.881367","arousal, valence","kernel_residual_shrink4, affine_residual_ridge4, affine_residual_ridge1, bias_shrink4, stimulus_only, bias_empirical_bayes, bias_shrink2, bias_shrink1, bias_mean, bias_shrink8, bias_huber, bias_trimmed_mean, bias_median",,,,,,,,
docs/roca/idare_subject_calibration_model_family_confirmatory_stats_smoke_current_model_family_curve.csv,.csv,37.29,"target, k_calibration, model, locked_reference_model, subjects, candidate_rmse_pooled, locked_reference_rmse_pooled, pooled_lift_vs_locked_reference_rmse, lift_vs_stimulus_rmse, mean_subject_improvement_locked_minus_model, median_subject_improvement_locked_minus_model, ci95_low_mean_subject_improvement, ci95_high_mean_subject_improvement, signflip_p_one_sided_mean_gt_zero, wins, losses, ties, win_margin, sign_test_p_one_sided_wins_gt_losses, passes_confirmatory_metric, pearson, spearman, ccc",132,"candidate_rmse_pooled: min=1.25156, mean=1.70538, max=2.44009 || locked_reference_rmse_pooled: min=1.27548, mean=1.63524, max=2.41144 || pooled_lift_vs_locked_reference_rmse: min=-0.654507, mean=-0.0701389, max=0.128032 || lift_vs_stimulus_rmse: min=-0.635309, mean=0.146919, max=0.729361 || losses: min=0, mean=4.51515, max=8 || sign_test_p_one_sided_wins_gt_losses: min=0.0351562, mean=0.686198, max=1 || pearson: min=0.303359, mean=0.729352, max=0.883403 || ccc: min=0.252941, mean=0.712662, max=0.879269","arousal, valence","bias_shrink1, bias_empirical_bayes, bias_shrink2, affine_residual_ridge4, affine_residual_ridge1, bias_mean, bias_trimmed_mean, bias_huber, bias_median, bias_shrink4, stimulus_only, kernel_residual_shrink4, bias_shrink8",,,,,,,,
