target,k_calibration,model,subjects,rmse_wins,rmse_losses,rmse_ties,rmse_win_margin,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse,residual_rmse_wins,residual_rmse_losses,residual_rmse_win_margin
arousal,0,stimulus_plus_fewshot_bias,63,0,0,63,0,0.0,0.0,0.0,0.0,0,0,0
arousal,0,stimulus_plus_fewshot_bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0,0,0,0
arousal,1,stimulus_plus_fewshot_bias,63,7,56,0,-49,0.45238021226350106,0.545141311286679,0.9813188240842434,-1.1603428964464815,7,56,-49
arousal,1,stimulus_plus_fewshot_bias_shrink4,63,30,33,0,-3,-0.04596873207592822,0.004523821649675908,0.05905734721666356,-0.5207392559438091,30,33,-3
arousal,2,stimulus_plus_fewshot_bias,63,16,47,0,-31,0.13117843414964897,0.25565056817514753,0.5981830347897454,-1.505107318552279,16,47,-31
arousal,2,stimulus_plus_fewshot_bias_shrink4,63,32,31,0,1,-0.07615496595945524,-0.0059917566085578855,0.0863699758851677,-0.8770903051893071,32,31,1
arousal,4,stimulus_plus_fewshot_bias,63,24,39,0,-15,-0.04814884769255494,0.08728240201076631,0.3288493808627164,-1.6881970755212032,24,39,-15
arousal,4,stimulus_plus_fewshot_bias_shrink4,63,34,29,0,5,-0.1199176854774527,-0.01812757335616344,0.10476911080940576,-1.2648219822943765,34,29,5
arousal,8,stimulus_plus_fewshot_bias,63,27,36,0,-9,-0.1385907521593179,0.02776361312042619,0.2055009470928053,-1.7981539696295816,27,36,-9
arousal,8,stimulus_plus_fewshot_bias_shrink4,63,37,26,0,11,-0.1617491734315548,-0.025190796879900557,0.11168257964430017,-1.5732462252291164,37,26,11
arousal,16,stimulus_plus_fewshot_bias,63,35,28,0,7,-0.18956003287748457,-0.035933162058449764,0.11237946857013581,-1.8795645734731565,35,28,7
arousal,16,stimulus_plus_fewshot_bias_shrink4,63,40,23,0,17,-0.19560356655291009,-0.05031528229202964,0.08365541852255798,-1.778485497897619,40,23,17
valence,0,stimulus_plus_fewshot_bias,63,0,0,63,0,0.0,0.0,0.0,0.0,0,0,0
valence,0,stimulus_plus_fewshot_bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0,0,0,0
valence,1,stimulus_plus_fewshot_bias,63,0,63,0,-63,0.4531871886092703,0.45533257470893873,0.7939088729846517,0.15364184757252897,0,63,-63
valence,1,stimulus_plus_fewshot_bias_shrink4,63,17,46,0,-29,0.009004958898940605,0.01809305871015221,0.047362628764000325,-0.09553703790616908,17,46,-29
valence,2,stimulus_plus_fewshot_bias,63,4,59,0,-55,0.23007062805517547,0.22925788082293075,0.4526134431877544,-0.057702717041164586,4,59,-55
valence,2,stimulus_plus_fewshot_bias_shrink4,63,20,43,0,-23,0.010276608251223925,0.025672133471391856,0.06821837834671562,-0.14379315449852204,20,43,-23
valence,4,stimulus_plus_fewshot_bias,63,7,56,0,-49,0.09900745206132924,0.11644937988981008,0.24389336788003568,-0.17926996110730453,7,56,-49
valence,4,stimulus_plus_fewshot_bias_shrink4,63,21,42,0,-21,0.005919535474394984,0.02790530205949482,0.0775149417683878,-0.23749693182081044,21,42,-21
valence,8,stimulus_plus_fewshot_bias,63,20,43,0,-23,0.03186088368211354,0.06464829905952718,0.14795936577920932,-0.25999137315579524,20,43,-23
valence,8,stimulus_plus_fewshot_bias_shrink4,63,22,41,0,-19,-0.003480427312499684,0.022311770244458407,0.08031854171272124,-0.26701797118473314,22,41,-19
valence,16,stimulus_plus_fewshot_bias,63,22,41,0,-19,-0.004251359644157007,0.028233172711502386,0.08993669837055984,-0.31050897039017644,22,41,-19
valence,16,stimulus_plus_fewshot_bias_shrink4,63,24,39,0,-15,-0.01568769263325271,0.013465399786799725,0.06748894440218467,-0.31384513938395187,24,39,-15
