test_subject,oracle_test_checkpoint_rmse,clean_gaussian10_rmse,stimulus_only_oracle_file_rmse,delta_oracle_minus_clean_rmse,delta_oracle_minus_stimulus_rmse,oracle_test_checkpoint_mae,clean_gaussian10_mae,stimulus_only_oracle_file_mae,delta_oracle_minus_clean_mae,delta_oracle_minus_stimulus_mae,oracle_test_checkpoint_accuracy,clean_gaussian10_accuracy,stimulus_only_oracle_file_accuracy,delta_oracle_minus_clean_accuracy,delta_oracle_minus_stimulus_accuracy,oracle_test_checkpoint_balanced_accuracy,clean_gaussian10_balanced_accuracy,stimulus_only_oracle_file_balanced_accuracy,delta_oracle_minus_clean_balanced_accuracy,delta_oracle_minus_stimulus_balanced_accuracy,oracle_test_checkpoint_macro_f1,clean_gaussian10_macro_f1,stimulus_only_oracle_file_macro_f1,delta_oracle_minus_clean_macro_f1,delta_oracle_minus_stimulus_macro_f1,oracle_test_checkpoint_mcc,clean_gaussian10_mcc,stimulus_only_oracle_file_mcc,delta_oracle_minus_clean_mcc,delta_oracle_minus_stimulus_mcc,oracle_test_checkpoint_auroc,clean_gaussian10_auroc,stimulus_only_oracle_file_auroc,delta_oracle_minus_clean_auroc,delta_oracle_minus_stimulus_auroc,oracle_test_checkpoint_dev_pearson,clean_gaussian10_dev_pearson,stimulus_only_oracle_file_dev_pearson,delta_oracle_minus_clean_dev_pearson,oracle_test_checkpoint_pred_dev_std,clean_gaussian10_pred_dev_std,stimulus_only_oracle_file_pred_dev_std,delta_oracle_minus_clean_pred_dev_std,delta_oracle_minus_stimulus_pred_dev_std,failure_score
35,1.6245358867355366,1.5515586446228775,1.552764938493383,0.0729772421126591,0.07177094824215358,1.230316068785278,1.2331876144067004,1.1804435483870968,-0.0028715456214223334,0.04987252039818135,0.84375,0.8125,0.84375,0.03125,0.0,0.8236714975845411,0.8019323671497585,0.8236714975845411,0.021739130434782594,0.0,0.8128654970760234,0.7818181818181817,0.8128654970760234,0.031047315257841657,0.0,0.6279257387790121,0.5716350506349809,0.6279257387790121,0.056290688144031265,0.0,0.855072463768116,0.8695652173913043,0.8695652173913043,-0.01449275362318836,-0.01449275362318836,-0.36163005909178836,-0.3172131097548742,,-0.04441694933691415,0.13433674113027153,0.07253210807929945,0.0,0.06180463305097207,0.13433674113027153,0.14474819035481268
26,1.8552037533529504,2.126141093709453,2.0975708009095437,-0.27093734035650274,-0.24236704755659333,1.441518927676921,1.8559507433209843,1.861391129032258,-0.4144318156440634,-0.4198722013553371,0.75,0.8125,0.8125,-0.0625,-0.0625,0.625,0.7916666666666667,0.7916666666666667,-0.16666666666666674,-0.16666666666666674,0.6342857142857142,0.7681159420289855,0.7681159420289855,-0.13383022774327125,-0.13383022774327125,0.2773500981126145,0.5449492609130661,0.5449492609130661,-0.26759916280045154,-0.26759916280045154,0.8125,0.8385416666666666,0.84375,-0.02604166666666663,-0.03125,0.1407044048427413,-0.3856537615364997,,0.526358166379241,0.9792196910490794,0.16055785453428287,0.0,0.8186618365147965,0.9792196910490794,0.13383022774327125
10,1.7511879507443235,1.7058864729063028,1.7173703785641625,0.04530147783802074,0.033817572180161015,1.466473089008442,1.415141427528356,1.4380040322580645,0.051331661480086055,0.028469056750377586,0.875,0.90625,0.90625,-0.03125,-0.03125,0.8614718614718615,0.8852813852813852,0.8852813852813852,-0.023809523809523725,-0.023809523809523725,0.8614718614718615,0.893687707641196,0.893687707641196,-0.03221584616933448,-0.03221584616933448,0.7229437229437229,0.7895918772038132,0.7895918772038132,-0.0666481542600903,-0.0666481542600903,0.8831168831168832,0.8831168831168831,0.8939393939393939,1.1102230246251565e-16,-0.010822510822510734,-0.2006605237453426,0.09451709546550191,,-0.2951776192108445,0.0899872591284953,0.14992130568118137,0.0,-0.05993404655268607,0.0899872591284953,0.11133489618751624
63,2.190881288398645,2.197503911286077,2.1826475464845028,-0.006622622887431984,0.008233741914142279,1.7736325321492727,1.8553248199913184,1.8578629032258065,-0.08169228784204563,-0.08423037107653375,0.8125,0.90625,0.90625,-0.09375,-0.09375,0.7922077922077921,0.8852813852813852,0.8852813852813852,-0.09307359307359309,-0.09307359307359309,0.7922077922077921,0.893687707641196,0.893687707641196,-0.10147991543340384,-0.10147991543340384,0.5844155844155844,0.7895918772038132,0.7895918772038132,-0.2051762927882288,-0.2051762927882288,0.9264069264069265,0.922077922077922,0.9155844155844155,0.0043290043290044045,0.010822510822510956,0.18792744543069376,-0.11071054060123466,,0.2986379860319284,0.9364437412961665,0.18160024131629007,0.0,0.7548434999798764,0.9364437412961665,0.10971365734754612
64,1.5701294958868384,1.5348372730656112,1.5094466023232982,0.035292222821227126,0.060682893563540174,1.2977647207317138,1.2858091161886835,1.2545362903225805,0.01195560454303024,0.04322843040913327,0.84375,0.8125,0.84375,0.03125,0.0,0.8160173160173161,0.7922077922077921,0.8160173160173161,0.023809523809523947,0.0,0.82281284606866,0.7922077922077921,0.82281284606866,0.03060505386086787,0.0,0.6476427756840265,0.5844155844155844,0.6476427756840265,0.06322719126844212,0.0,0.8831168831168832,0.8744588744588745,0.8917748917748918,0.008658008658008698,-0.008658008658008587,-0.19163186094116078,-0.3310533534083744,,0.1394214924672136,0.12470136563273895,0.08568901681708327,0.0,0.039012348815655684,0.12470136563273895,0.0959751163847673
60,2.498586330501617,2.600909303514089,2.415655774314542,-0.10232297301247195,0.08293055618707523,2.1521814195152595,2.2271521841569886,2.089717741935484,-0.07497076464172903,0.062463677579775556,0.75,0.75,0.75,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.746031746031746,0.746031746031746,0.746031746031746,0.0,0.0,0.5945883900105632,0.5945883900105632,0.5945883900105632,0.0,0.0,0.9365079365079364,0.9444444444444444,0.9424603174603174,-0.00793650793650802,-0.005952380952381042,-0.14174829261526506,-0.2544483551905654,,0.11270006257530035,0.22154792589619587,0.16667745070645137,0.0,0.0548704751897445,0.22154792589619587,0.08293055618707523
22,2.2498490562806315,2.270771276791362,2.2019212090640568,-0.02092222051073067,0.047927847216574726,2.00988275885189,2.025980329236695,1.9672379032258065,-0.01609757038480497,0.042644855626083444,0.84375,0.84375,0.875,0.0,-0.03125,0.8318181818181818,0.8318181818181818,0.8545454545454545,0.0,-0.022727272727272707,0.82281284606866,0.82281284606866,0.8545454545454545,0.0,-0.03173260847679449,0.6476427756840265,0.6476427756840265,0.7090909090909091,0.0,-0.0614481334068826,0.9227272727272727,0.9181818181818182,0.9181818181818182,0.004545454545454519,0.004545454545454519,-0.2221406600453107,-0.319086519368139,,0.09694585932282829,0.23249697069056263,0.11942246345941475,0.0,0.11307450723114788,0.23249697069056263,0.07966045569336921
57,2.1765052891371592,2.1115094860262418,2.166632480586249,0.06499580311091746,0.009872808550910328,1.7189754603343868,1.7291363098673656,1.836693548387097,-0.0101608495329788,-0.11771808805271022,0.625,0.65625,0.625,-0.03125,0.0,0.625,0.6041666666666667,0.5416666666666667,0.02083333333333326,0.08333333333333326,0.5844155844155844,0.5883040935672514,0.536231884057971,-0.0038885091516670522,0.048183700357613435,0.21821789023599236,0.18993429409939658,0.0778498944161523,0.028283596136595784,0.14036799581984005,0.5625,0.5885416666666667,0.546875,-0.02604166666666674,0.015625,0.23822118942380757,0.22740689974127304,,0.010814289682534534,0.972266961151162,0.5694602980049787,0.0,0.4028066631461833,0.972266961151162,0.07486861166182779
25,2.1380268204222466,2.134748588356721,2.1900265994374353,0.003278232065525355,-0.05199977901518871,1.6336653495435718,1.6567115471288099,1.7767137096774193,-0.02304619758523807,-0.14304836013384747,0.84375,0.875,0.90625,-0.03125,-0.0625,0.8376623376623377,0.8614718614718615,0.8852813852813852,-0.023809523809523836,-0.04761904761904756,0.8303287380699894,0.8614718614718615,0.893687707641196,-0.031143123401872086,-0.06335896957120657,0.6625413488689132,0.7229437229437229,0.7895918772038132,-0.06040237407480964,-0.12705052833489994,0.9134199134199135,0.9047619047619048,0.9047619047619048,0.008658008658008698,0.008658008658008698,0.23266468247198943,0.2345741517598086,,-0.0019094692878191821,0.5841356892539923,0.5847673706091772,0.0,-0.0006316813551848766,0.5841356892539923,0.06663720163673192
33,1.604520397172189,1.5560866346631583,1.7088498453534822,0.04843376250903075,-0.10432944818129308,1.411063570281889,1.4085788589867092,1.466733870967742,0.002484711295179798,-0.05567030068585299,0.75,0.78125,0.75,-0.03125,0.0,0.75,0.7678571428571428,0.75,-0.017857142857142794,0.0,0.6342857142857142,0.6621417797888387,0.6342857142857142,-0.027856065503124472,0.0,0.3567530340063379,0.39405520311955033,0.3567530340063379,-0.037302169113212436,0.0,0.8482142857142857,0.8214285714285715,0.8482142857142857,0.02678571428571419,0.0,0.16200643415000526,0.19278673433824253,,-0.03078030018823727,0.038854545616714524,0.4197811422491952,0.0,-0.3809265966324807,0.038854545616714524,0.04843376250903075
