augmentation_config,target,model,test_subject,n,mae,rmse,pearson,balanced_accuracy,auroc,dev_mae,dev_rmse,dev_pearson,dev_sign_acc,true_dev_mean,pred_dev_mean,true_dev_std,pred_dev_std,std_ratio_pred_over_true,mean_abs_true_dev,mean_abs_pred_dev,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,1,32,1.526553386022293,1.8611566954997714,0.648823429174865,0.7166666666666667,0.775,1.526553386022293,1.8611566954997714,0.1756097614684855,0.59375,0.09979838709677412,-0.06053624093848207,1.8730758315387523,0.13404789795576558,0.0715656545766074,1.5544354838709677,0.11247884646078199,0.02788209784867468,0.014575905049066362,0.009148725271722613,0.0,0.01666666666666672,0.02788209784867468,0.014575905049066362,0.59375,0.13404789795576558
gaussian_0p10,arousal,stimulus_only,1,32,1.5544354838709677,1.8757326005488377,0.6396747039031424,0.7166666666666667,0.7583333333333333,1.5544354838709677,1.8757326005488377,,0.0,0.09979838709677412,0.0,1.8730758315387523,0.0,0.0,1.5544354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,2,32,2.739687910515928,3.1332119461665555,0.7457664571737675,0.7272727272727273,0.8681818181818182,2.739687910515928,3.133211946166556,0.31770197931389715,0.09375,2.2273185483870965,-0.5035760309446614,1.5829340702617387,0.17661716244773762,0.11157581719017667,2.326108870967742,0.5035760309446614,-0.413579039548186,-0.4006987830171811,0.018630261504765433,0.0,0.0,-0.413579039548186,-0.40069878301718154,0.09375,0.17661716244773762
gaussian_0p10,arousal,stimulus_only,2,32,2.326108870967742,2.7325131631493744,0.7271361956690021,0.7272727272727273,0.8681818181818182,2.326108870967742,2.7325131631493744,,0.0,2.2273185483870965,0.0,1.5829340702617387,0.0,0.0,2.326108870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,3,32,1.4121148826032686,1.612569274731476,0.634371713771883,0.8548387096774194,0.967741935483871,1.4121148826032686,1.612569274731476,-0.021981146001508536,0.8125,-1.265625,-0.39256161856435184,1.353914241378173,0.04732324640691918,0.03495291279210791,1.645665322580645,0.39256161856435184,0.23355043997737646,0.24077646031949773,-0.0013530770495654432,0.0,0.0,0.23355043997737646,0.24077646031949773,0.8125,0.04732324640691918
gaussian_0p10,arousal,stimulus_only,3,32,1.645665322580645,1.8533457350509737,0.6357247908214484,0.8548387096774194,0.967741935483871,1.645665322580645,1.8533457350509737,,0.0,-1.265625,0.0,1.353914241378173,0.0,0.0,1.645665322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,5,32,1.5174295222801983,1.8938427579561918,0.6917304972272152,0.7777777777777778,0.8690476190476191,1.5174295222801986,1.8938427579561918,0.006781162305216313,0.3125,0.893649193548387,-0.23702427045547997,1.5102454224184472,0.17601683966709192,0.11654850069673375,1.4047379032258065,0.2504164249528917,-0.11269161905439185,-0.13900654991124806,-0.0029145660869402956,0.0,0.003968253968253954,-0.11269161905439207,-0.13900654991124828,0.3125,0.17601683966709192
gaussian_0p10,arousal,stimulus_only,5,32,1.4047379032258065,1.7548362080449438,0.6946450633141555,0.7777777777777778,0.8650793650793651,1.4047379032258065,1.7548362080449436,,0.0,0.893649193548387,0.0,1.5102454224184472,0.0,0.0,1.4047379032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,6,32,3.381458464452637,3.778845112591574,0.3368998125244155,0.6666666666666666,0.5,3.381458464452637,3.7788451125915734,0.0818795137810304,0.34375,3.2752016129032255,-0.05593179423494282,1.790167901902087,0.14872856043862673,0.08308078827718715,3.337701612903226,0.12876850250728838,-0.04375685154941111,-0.046332993098268105,0.019817112414382443,0.0,0.0,-0.04375685154941111,-0.04633299309826766,0.34375,0.14872856043862673
gaussian_0p10,arousal,stimulus_only,6,32,3.337701612903226,3.7325121194933057,0.31708270011003303,0.6666666666666666,0.5,3.337701612903226,3.7325121194933057,,0.0,3.2752016129032255,0.0,1.790167901902087,0.0,0.0,3.337701612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
