target,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,residual_mae,residual_rmse,residual_pearson,residual_spearman,residual_ccc,residual_y_true_mean,residual_y_true_std,residual_y_pred_mean,residual_y_pred_std,residual_residual_mean,residual_residual_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_residual_mae,lift_vs_stimulus_residual_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc
arousal,0,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304895,0.5984999661777204,0.5793812998802726,4.308035714285714,2.514611055537069,4.308035714285714,1.6319723102903876,-1.409807015397024e-17,1.9442049821165959,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,2016,1.5799251152073732,1.9442049821165959,0.6343754946304895,0.5984999661777204,0.5793812998802726,4.308035714285714,2.514611055537069,4.308035714285714,1.6319723102903876,-1.409807015397024e-17,1.9442049821165959,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,2016,1.5799251152073732,1.9442049821165959,0.6343754946304895,0.5984999661777204,0.5793812998802726,4.308035714285714,2.514611055537069,4.308035714285714,1.6319723102903876,-1.409807015397024e-17,1.9442049821165959,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,390600,1.5793093338618833,1.9435803112656491,0.6346352666871025,0.5987132416844905,0.5796193431867805,4.3075985663082434,2.514512230011542,4.307806517681648,1.6319136602862685,-0.0002079513734040287,1.9435803001408776,1.5793093338618833,1.9435803112656491,,,0.0,-0.0002079513734040287,1.9435803001408776,0.0,0.0,-0.0002079513734040287,1.9435803001408776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,1,stimulus_plus_fewshot_bias,390600,1.8846979006656426,2.398344456618241,0.5511373547676176,0.5493206616318229,0.551088219219355,4.3075985663082434,2.514512230011542,4.314253010257173,2.5476493005622616,-0.006654443948928855,2.398335224893963,1.8846979006656426,2.398344456618241,0.2464097867053859,0.23874887547876253,0.24639559789526663,-0.0002079513734040287,1.9435803001408776,0.0064464925755248195,1.9634606249664004,-0.006654443948928861,2.398335224893963,-0.30538856680375925,-0.4547641453525917,-0.30538856680375925,-0.4547641453525917,-0.08349791191948486,-0.049392580052667556,-0.02853112396742552
arousal,1,stimulus_plus_fewshot_bias_shrink4,390600,1.5274051665758224,1.8856244849651997,0.6615763160167337,0.6486517684216171,0.6107553469438731,4.3075985663082434,2.514512230011542,4.309095816196753,1.6768389091702476,-0.0014972498885090196,1.8856238905314724,1.5274051665758224,1.8856244849651997,0.2464097867053853,0.23874887547876253,0.09566668822438104,-0.0002079513734040287,1.9435803001408776,0.0012892985151049619,0.3926921249932801,-0.001497249888509015,1.8856238905314724,0.051904167286060954,0.057955826300449376,0.051904167286060954,0.057955826300449376,0.02694104932963126,0.04993852673712662,0.03113600375709258
arousal,2,stimulus_only,378000,1.5800047789725211,1.944653022548218,0.6340916369284786,0.5983061649724891,0.5792339259742373,4.308952380952381,2.5143962770303463,4.3090649428230074,1.6326074537602,-0.0001125618706264119,1.9446530192905223,1.5800047789725211,1.944653022548218,,,0.0,-0.0001125618706264119,1.9446530192905223,0.0,0.0,-0.0001125618706264119,1.9446530192905223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arousal,2,stimulus_plus_fewshot_bias,378000,1.6325823946065885,2.07068990830171,0.624856958928316,0.6257765752233694,0.6203808351249873,4.308952380952381,2.5143962770303463,4.310753370882403,2.229954727060628,-0.0018009899300221923,2.070689125092856,1.6325823946065885,2.07068990830171,0.3081629067752932,0.29392718549570773,0.2994826054594966,-0.0001125618706264119,1.9446530192905223,0.001688428059395755,1.5294325649488358,-0.0018009899300221886,2.070689125092856,-0.052577615634067376,-0.12603688575349214,-0.052577615634067376,-0.12603688575349214,-0.009234678000162533,0.02747041025088026,0.04114690915075003
arousal,2,stimulus_plus_fewshot_bias_shrink4,378000,1.4981347784035957,1.8521755590725848,0.6763031643818384,0.6661397622352329,0.628602441145812,4.308952380952381,2.5143962770303463,4.30962775217614,1.7072462850778263,-0.0006753712237583415,1.8521754359400062,1.4981347784035954,1.8521755590725848,0.30816290677529334,0.29392688676125955,0.15118547323294684,-0.0001125618706264119,1.9446530192905223,0.000562809353131926,0.5098108549829452,-0.0006753712237583415,1.852175435940006,0.08187000056892546,0.09247746347563313,0.08187000056892568,0.09247746347563313,0.042211527453359765,0.06783359726274374,0.0493685151715747
arousal,4,stimulus_only,352800,1.5801653591544143,1.9440907495519064,0.634464865289639,0.5984532448139098,0.5794717325939869,4.310085034013605,2.5147057940968867,4.309746863799283,1.632094772461536,0.0003381702143222525,1.944090720139932,1.5801653591544143,1.9440907495519064,,,0.0,0.0003381702143222525,1.944090720139932,0.0,0.0,0.0003381702143222525,1.944090720139932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
