epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
25,0.08247752800103157,1.067440941542349,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
26,0.0825106734710355,1.0727121760509166,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
27,0.07764246891583165,0.9983074912500433,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
28,0.0674628187872229,1.0342605222650547,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
29,0.07111904169282605,1.1289709978630893,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
30,0.07078871317207813,1.093867284333105,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
31,0.06616124679003993,1.0659319144397728,gaussian_0p10,oracle_test_checkpoint_selection,1,arousal,7.162729191130042e-18,1.9455604821992014,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.44070685606810356,1.5000508324066613,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.428557857390373,1.488516778132128,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4222898502503672,1.4366127592389673,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.40801139127823616,1.4641064905656629,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.39682865911914456,1.6206386917333049,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.37700226614552157,1.88170363060791,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.35668063187791454,1.602198925123554,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.32567599247540197,1.7924205951846643,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.3116229133259866,1.6584620287359348,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.2708392758523264,1.8105292750083917,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.2591682271130623,1.7494151527229667,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.23002548635967315,1.6255346313513643,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.19829790306187445,1.8133354100277534,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
14,0.1879108140785848,1.5446813387177778,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
15,0.17470191058612639,1.5063863333324052,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
16,0.16847508749173534,1.6143936891994983,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
17,0.14761219401994058,1.5289821392148921,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
18,0.14887086169854288,1.6228712843496307,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
19,0.12549880435389857,1.688973413534812,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
20,0.13473845910160773,1.8247721124460738,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
21,0.11565880249104192,1.6086065020786469,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
22,0.11754180857491109,1.4877062552337672,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
23,0.11275053462914882,1.7748597614480726,gaussian_0p10,oracle_test_checkpoint_selection,2,arousal,-7.162729191130042e-18,1.9288502402018097,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.44611423823141283,0.863876380773435,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4346180337090646,0.91311123382161,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.41236025431463796,0.8519599510616531,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.40819002255316705,0.7350688829476292,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.39849916605218766,0.7241367404056446,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.3815005688417342,0.7295391728856483,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.3677128577424634,0.6906724746101905,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.3293614940297219,0.7342889926916984,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.30530955834734824,0.7258960363874382,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.276990371365701,0.712445809622555,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
