target,quantile,feature_block,model,subject_id,baseline_residual_rmse,model_residual_rmse,improvement_baseline_minus_model,delta_rmse_model_minus_baseline
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,1,3.054269797486409,2.8844943486063777,0.16977544888003138,-0.16977544888003138
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,10,2.8355134918213976,2.789545328119362,0.045968163702035714,-0.045968163702035714
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,11,3.2928911542907464,3.025219575739384,0.26767157855136237,-0.26767157855136237
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,12,2.313940020466014,2.3099975842873306,0.003942436178683284,-0.003942436178683284
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,13,3.3718165315100426,2.458538126323503,0.9132784051865395,-0.9132784051865395
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,14,2.819840671424436,2.3133968570270262,0.5064438143974099,-0.5064438143974099
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,15,3.007811543457691,3.0765937386730395,-0.06878219521534845,0.06878219521534845
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,16,2.809613069149392,2.406583254315001,0.40302981483439115,-0.40302981483439115
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,17,2.636975926993294,2.8303165913860213,-0.19334066439272712,0.19334066439272712
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,18,3.2156493316824264,2.8779237453320596,0.33772558635036676,-0.33772558635036676
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,19,3.1007945080426795,3.1964789439898604,-0.0956844359471809,0.0956844359471809
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,2,3.6063561250270735,3.1296495978585077,0.47670652716856576,-0.47670652716856576
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,20,3.0205246562064847,3.0113134939274984,0.009211162278986329,-0.009211162278986329
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,21,3.0296230829880453,3.139445107899271,-0.10982202491122584,0.10982202491122584
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,22,3.0969141993441154,3.194804145215014,-0.09788994587089883,0.09788994587089883
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,23,2.6671489765011622,2.50467475507435,0.16247422142681245,-0.16247422142681245
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,24,2.2763202136079914,2.328400274144077,-0.052080060536085604,0.052080060536085604
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,25,3.5687587265633103,3.646450288401033,-0.07769156183772274,0.07769156183772274
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,26,2.9441278102436135,2.8808483609922386,0.06327944925137485,-0.06327944925137485
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,27,2.982589088207541,2.782250993812693,0.2003380943948483,-0.2003380943948483
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,28,2.7827242350099874,2.4347111528373864,0.3480130821726011,-0.3480130821726011
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,29,2.5859237010096865,2.7149702613512305,-0.12904656034154405,0.12904656034154405
