target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
arousal,eeg_bc_residual_huber_norm_multitask_smoke,192,1.9921666366494997,2.486073928962678,0.3971459003031828,0.39376540680604005,0.6234110754946391,0.6222222222222222,0.625732286945949,1.9921666366494997,2.486073928962678,-0.26252078374256566,-0.18889385786080143,0.4166666666666667,0.6978326612903225,2.2785491530949153,-0.058255777337451305,0.2821236604315617,-0.05592671729466092,-0.10305973130604418,-0.04416590528215536,-0.0361212086990062,-0.004587155963302725,-0.0045078941344500745,-0.02194097490880953,-0.05592671729466092,-0.10305973130604418,,,0.4166666666666667,0.0,0.2821236604315617
arousal,stimulus_only,192,1.9362399193548387,2.383014197656634,0.44131180558533817,0.42988661550504625,0.6279982314579419,0.6267301163566723,0.6476732618547585,1.9362399193548387,2.383014197656634,,,0.0,0.6978326612903225,2.2785491530949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
