target,model,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
arousal,physio_eeg_bandpower_ridge,256,2.6223399232955726,3.2008485955638926,0.06753599866022858,0.0738282290244183,0.06103063545866718,2.4799488874521183,1.9880105327085713,2.783945194592126,3.46107391315058,-0.18859651848345602,-0.19130334203590935,0.46484375,2.4114416891992563,1.836435025156465,-0.5832774232955726,-0.7894069063646363,-0.2526367437175358,-0.2471928921272278,-0.20650336437815872,-0.7448826945921261,-1.0496322239513236,,,0.46484375,1.836435025156465
arousal,physio_eeg_entropy_complexity_ridge,256,2.2294610037189053,2.6055692785233484,0.3004731441416143,0.3134972501483278,0.2835601406862666,2.4799488874521183,1.8029857988654858,2.297784078200352,2.6827381168841224,0.10893162816774724,0.006829949689577848,0.453125,2.4114416891992563,1.432561997839188,-0.19039850371890532,-0.19412758932409213,-0.019699598236150084,-0.007523871003318305,0.016026140849440706,-0.258721578200352,-0.27129642768486617,,,0.453125,1.432561997839188
arousal,physio_emg_bsl_stats_22_ridge,256,2.171454536685342,2.6002879491722575,0.29532852988217784,0.2942058687670078,0.27640579696573797,2.4799488874521183,1.7632619084641672,2.192795146113864,2.615755224703691,0.06120744592284872,0.08511179082053233,0.5546875,2.4114416891992563,1.1258613739188368,-0.13239203668534216,-0.1888462599730012,-0.02484421249558655,-0.026815252384638277,0.008871797128912062,-0.15373264611386395,-0.20431353550443454,,,0.5546875,1.1258613739188368
arousal,physio_emg_existing_22_ridge,256,2.13873004701908,2.5750976485337116,0.29106280571577897,0.2957773687883576,0.27244418876516646,2.4799488874521183,1.7200425970802673,2.1449166607147627,2.5813754446860133,0.0717596148312309,0.06369647140574086,0.50390625,2.4114416891992563,1.1067892519902218,-0.09966754701907998,-0.16365595933445531,-0.029109936661985414,-0.02524375236328852,0.004910188928340553,-0.10585416071476272,-0.16993375548675704,,,0.50390625,1.1067892519902218
arousal,physio_emg_lagged_interaction_experimental_ridge,256,2.2261907949998565,2.6120051595696765,0.21442863928473688,0.23735290224777872,0.18806426738556528,2.4799488874521183,1.4858575569767596,2.227565210804085,2.6147272707635194,-0.19353527658731778,-0.07581558965599379,0.546875,2.4114416891992563,0.6260242905962524,-0.1871282949998565,-0.20056347037042022,-0.10574410309302751,-0.08366821890386739,-0.07946973245126063,-0.1885027108040851,-0.20328558156426313,,,0.546875,0.6260242905962524
arousal,stimulus_only,256,2.0390625,2.4114416891992563,0.3201727423777644,0.3210211211516461,0.2675339998368259,2.4799488874521183,1.337482044391205,2.0390625,2.4114416891992563,,,0.0,2.4114416891992563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
valence,physio_eeg_bandpower_ridge,256,1.1915628799397895,1.5608366233232702,0.8207940978024498,0.7971162967192608,0.8180945466179804,2.668717867012348,2.500954486918025,1.251133547130534,1.6594594249655856,-0.06785605913562309,0.0044232807787783265,0.5393700787401575,1.2899236648827286,0.9474546695450512,-0.15473252279693228,-0.27091295844054164,-0.05522370910968011,-0.044658572705273514,-0.05387531673668888,-0.21430318998767683,-0.36953576008285705,,,0.5393700787401575,0.9474546695450512
valence,physio_eeg_entropy_complexity_ridge,256,1.1438288903161757,1.4637004741416135,0.8401742487908591,0.8121999203424539,0.8373672257073946,2.668717867012348,2.4598594309694617,1.1705877499238,1.4991699539753014,-0.08684444908972708,-0.01124068643142866,0.5354330708661418,1.2899236648827286,0.6593182903174155,-0.10699853317331853,-0.17377680925888495,-0.035843558121270824,-0.02957494908208036,-0.03460263764727467,-0.13375739278094279,-0.2092462890925728,,,0.5354330708661418,0.6593182903174155
valence,physio_emg_bsl_stats_22_ridge,256,1.0448455706289472,1.3243405427188024,0.8696134468252444,0.8443905536632962,0.8659853932966769,2.668717867012348,2.4417369436726255,1.0468432690244354,1.3248514930617363,0.0250787646267369,0.03928032200400468,0.531496062992126,1.2899236648827286,0.3312800809420364,-0.008015213486090023,-0.034416877836073834,-0.006404360086885497,0.002615684238761906,-0.005984470057992408,-0.010012911881578157,-0.03492782817900775,,,0.531496062992126,0.3312800809420364
valence,physio_emg_existing_22_ridge,256,1.1022406084231031,1.3605132097909145,0.8637173583872642,0.8301518177757831,0.8585547135146488,2.668717867012348,2.437141338927466,1.1022406084231031,1.3605132097909145,-0.18500148580913645,-0.21603300461051625,0.3858267716535433,1.2899236648827286,0.2298158821338714,-0.06541025128024591,-0.07058954490818592,-0.012300448524865781,-0.011623051648751215,-0.013415149840020457,-0.06541025128024591,-0.07058954490818592,,,0.3858267716535433,0.2298158821338714
valence,physio_emg_lagged_interaction_experimental_ridge,256,1.0466563107627875,1.31311699912901,0.8715627720813246,0.8412482891688237,0.8679169506931323,2.668717867012348,2.435603561835194,1.0505681875144226,1.3173642548679796,0.011904917455870091,0.040031728704816395,0.5590551181102362,1.2899236648827286,0.28297663086921526,-0.009825953619930328,-0.02319333424628134,-0.004455034830805338,-0.0005265802557106181,-0.004052912661536956,-0.013737830371565396,-0.027440589985251007,,,0.5590551181102362,0.28297663086921526
valence,stimulus_only,256,1.0368303571428572,1.2899236648827286,0.8760178069121299,0.8417748694245343,0.8719698633546693,2.668717867012348,2.423659992200344,1.0368303571428572,1.2899236648827286,,,0.0,1.2899236648827286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
