repetition,role,task,label_policy,region,aggregation,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std
0,primary,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1799,1112,687,0.6181211784324625,0.5,0.38199931295087597,0.3307781722220477,0.2511396502189511,0.6969689256933629,0.5,0.0
0,primary,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1799,1112,687,0.6425792106725959,0.5848740221796362,0.581348846585503,0.5713245997088792,0.2520187309822481,0.7302604068960387,0.5533818390738523,0.04791048248897351
0,primary,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,1799,1112,687,0.6575875486381323,0.6064718094520017,0.606719019714727,0.617118532248437,0.2324666305010968,0.6674192339233356,0.5741980662686086,0.09576260991612665
0,primary,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1112,904,0.49404761904761907,0.4546698924046604,0.38020833333333337,0.36361972369007445,0.2580360136017285,0.7094937974008327,0.5,0.0
0,primary,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1112,904,0.5396825396825397,0.5279015725472719,0.5262063851599126,0.5605721175272171,0.26441035977457195,0.7437141689203339,0.5107805429041267,0.06316695045261793
0,primary,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1112,904,0.6190476190476191,0.603154644426052,0.6003551737667003,0.619499864710002,0.24181605719545038,0.6841661363314571,0.5905922028832751,0.08082622200431296
0,primary,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1329,687,0.6592261904761905,0.5,0.39730941704035877,0.3362845185718213,0.23774384953632646,0.6706383453193578,0.5,0.0
0,primary,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1329,687,0.6686507936507936,0.5823862049477395,0.5814952564689035,0.5738552040857677,0.2378533940709152,0.6941191183720358,0.5492733074216877,0.040680512586160934
0,primary,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1329,687,0.6607142857142857,0.5791792758780447,0.5790399155969755,0.602858854596215,0.2223467972926197,0.6418434545244872,0.5535158836813658,0.0949724714892024
0,primary,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1667,812,855,0.4175164967006599,0.41126019070665165,0.3776323099963281,0.3892842739031487,0.2589271883292319,0.7110590716647321,0.5,0.0
0,primary,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1667,812,855,0.5752849430113978,0.5754976521764181,0.5752664490162547,0.5389284994094431,0.31865483004955464,0.9738897855575063,0.5929593150042203,0.14510381611635828
