repetition,role,cell_id,subject_fold,stimulus_fold,task,label_policy,region,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,fit_uses_target_subject_labels,fit_uses_target_stimulus_labels,fit_uses_eeg_or_emg
0,primary,rep00_S01_T01,1,1,arousal,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,329,277,52,0.8419452887537994,0.5,0.4570957095709571,0.5,0.20730806286849926,0.6072387548152669,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,329,277,52,0.8267477203647416,0.694043321299639,0.6866195417857321,0.7673562899194668,0.18524055186640553,0.5530352717895414,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,335,168,167,0.5014925373134328,0.5,0.33399602385685884,0.5,0.2546207387246436,0.7024804186803907,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,335,168,167,0.7731343283582089,0.7728828058169375,0.7714213890684478,0.8244582264043342,0.17028408611693363,0.5227333999196716,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,primary_test,global_train_prior,128,103,25,0.8046875,0.5,0.4458874458874459,0.5,0.19613939266762237,0.5839093649319294,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,primary_test,order_bin_prior,128,103,25,0.8046875,0.5,0.4458874458874459,0.4689320388349515,0.1757909972734109,0.5439221465935073,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,primary_test,order_quadratic_logistic,128,103,25,0.8046875,0.5,0.4458874458874459,0.6087378640776699,0.1605747468406994,0.5031201112891168,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,376,324,52,0.8617021276595744,0.5,0.46285714285714286,0.5,0.1839075310598058,0.5590595925917594,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,376,324,52,0.8191489361702128,0.6367521367521367,0.6323901541292846,0.7003798670465337,0.17415251606433277,0.528697703598623,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,384,217,167,0.5651041666666666,0.5,0.3610648918469218,0.5,0.247539363116795,0.6883315375256069,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_low,unseen_subject_seen_stimulus,stimulus_prior,384,217,167,0.7473958333333334,0.7406247413008085,0.7417046329235057,0.7750627776704656,0.18651914674856718,0.5599111148536525,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,primary_test,global_train_prior,128,81,47,0.6328125,0.5,0.3875598086124402,0.5,0.24519975887782303,0.683542017812681,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,primary_test,order_bin_prior,128,81,47,0.5390625,0.4348568426582611,0.37889629081338927,0.4495665878644602,0.2674566114043426,0.7545195219460674,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,primary_test,order_quadratic_logistic,128,81,47,0.6484375,0.552534804307854,0.5262768319763138,0.5021013921723142,0.2329976390386002,0.6596418276435785,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,seen_subject_unseen_stimulus,global_train_prior,376,277,99,0.7367021276595744,0.5,0.4241960183767228,0.5,0.2411473265932297,0.6754330388256705,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,seen_subject_unseen_stimulus,subject_prior,376,277,99,0.7047872340425532,0.6925391095066185,0.6625676101773024,0.7406738868832732,0.2166912661586439,0.6225149851464807,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,unseen_subject_seen_stimulus,global_train_prior,384,168,216,0.4375,0.5,0.30434782608695654,0.5,0.2528183315728585,0.6987868983082602,False,False,False
0,primary,rep00_S01_T01,1,1,arousal,midpoint_as_high,unseen_subject_seen_stimulus,stimulus_prior,384,168,216,0.7291666666666666,0.7380952380952381,0.7290490664350847,0.8037918871252205,0.18458428657744988,0.552739496238367,False,False,False
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,primary_test,global_train_prior,116,66,50,0.43103448275862066,0.5,0.30120481927710846,0.5,0.2586980277574871,0.7106013738983358,False,False,False
0,primary,rep00_S01_T02,1,2,valence,discard_midpoint,primary_test,order_bin_prior,116,66,50,0.6982758620689655,0.6984848484848485,0.6955380577427821,0.7665151515151516,0.21898991053784703,0.6472079814240208,False,False,False
