dataset,subject_id,session_id,trial_id,stimulus_id,presentation_order,valence_score,arousal_score,valence_discard_midpoint,valence_midpoint_as_low,valence_midpoint_as_high,arousal_discard_midpoint,arousal_midpoint_as_low,arousal_midpoint_as_high,eeg_available,emg_available,eeg_path,emg_path,eeg_sampling_rate,emg_sampling_rate,trial_duration_sec,chronology_verified,quality_flag,source_file,source_trial_index_0based,source_trial_index_1based,recorded_duration_sec,baseline_duration_sec,stimulus_duration_sec,eeg_channel_indices_0based,emg_channel_indices_0based,stimulus_identity_verified
DEAP,s01,session_1,deap_s01_row01,,,7.71,7.6,1,1,1,1,1,1,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,0,1,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row02,,,8.1,7.31,1,1,1,1,1,1,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,1,2,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row03,,,8.58,7.54,1,1,1,1,1,1,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,2,3,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row04,,,4.94,6.01,0,0,0,1,1,1,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,3,4,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row05,,,6.96,3.92,1,1,1,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,4,5,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row06,,,8.27,3.92,1,1,1,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,5,6,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row07,,,7.44,3.73,1,1,1,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,6,7,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row08,,,7.32,2.55,1,1,1,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,7,8,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row09,,,4.04,3.29,0,0,0,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,8,9,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row10,,,1.99,4.86,0,0,0,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,9,10,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row11,,,2.99,2.36,0,0,0,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,10,11,63.0,3.0,60.0,0-31,34-35,False
DEAP,s01,session_1,deap_s01_row12,,,2.71,2.77,0,0,0,0,0,0,True,True,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,128.0,128.0,60.0,False,stimulus_identity_unresolved;presentation_order_unverified,/mnt/HDD/AliWorks/DEAP/data_preprocessed_python/s01.dat,11,12,63.0,3.0,60.0,0-31,34-35,False
