repetition,role,task,policy,region,baseline,subject_fold,stimulus_fold,train_n,n,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss
0,primary,valence,discard_midpoint,primary_test,global_train_prior,0,0,711,80,0.55,0.5,0.3548387096774194,0.5,0.24751721491293138,0.6881736314446012
0,primary,valence,discard_midpoint,primary_test,order_bin_prior,0,0,711,80,0.55,0.5,0.3548387096774194,0.37941919191919193,0.25266458202379805,0.6985873188547752
0,primary,valence,discard_midpoint,primary_test,order_quadratic_logistic,0,0,711,80,0.55,0.5,0.3548387096774194,0.5101010101010102,0.24807737656124954,0.6893041249404817
0,primary,valence,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,0,0,711,236,0.5847457627118644,0.5,0.3689839572192513,0.5,0.24375431234076042,0.6806181953833752
0,primary,valence,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,0,0,711,236,0.5805084745762712,0.5392635314995564,0.5275705186533212,0.5577861579414375,0.24211332452287407,0.6771751492984909
0,primary,valence,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,0,0,711,237,0.5569620253164557,0.5,0.35772357723577236,0.5,0.24676324030060073,0.6866597450587614
0,primary,valence,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,0,0,711,237,0.7721518987341772,0.7720779220779221,0.7703488372093024,0.8440836940836941,0.16005928277587744,0.4970495553508183
0,primary,valence,midpoint_as_low,primary_test,global_train_prior,0,0,720,80,0.55,0.5,0.3548387096774194,0.5,0.24750771604938268,0.688154390281219
0,primary,valence,midpoint_as_low,primary_test,order_bin_prior,0,0,720,80,0.55,0.5,0.3548387096774194,0.37941919191919193,0.2524775877514598,0.6981748088256295
0,primary,valence,midpoint_as_low,primary_test,order_quadratic_logistic,0,0,720,80,0.55,0.5,0.3548387096774194,0.4797979797979798,0.24809966616082413,0.6893477216078083
0,primary,valence,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,0,0,720,240,0.575,0.5,0.36507936507936506,0.5,0.2451466049382716,0.6834180520829384
0,primary,valence,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,0,0,720,240,0.575,0.5383631713554987,0.5248078266946191,0.5547030406365445,0.24375098320850858,0.6804840668637608
0,primary,valence,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,0,0,720,240,0.55,0.5,0.3548387096774194,0.5,0.24750771604938268,0.688154390281219
0,primary,valence,midpoint_as_low,unseen_subject_seen_stimulus,stimulus_prior,0,0,720,240,0.7666666666666667,0.765993265993266,0.765034965034965,0.8355780022446688,0.16418306327160492,0.507087133419278
0,primary,valence,midpoint_as_high,primary_test,global_train_prior,0,0,720,80,0.55,0.5,0.3548387096774194,0.5,0.24759452160493828,0.688330304694649
0,primary,valence,midpoint_as_high,primary_test,order_bin_prior,0,0,720,80,0.55,0.5,0.3548387096774194,0.37941919191919193,0.25278619735838176,0.698870042391852
0,primary,valence,midpoint_as_high,primary_test,order_quadratic_logistic,0,0,720,80,0.55,0.5,0.3548387096774194,0.509469696969697,0.24812175786289012,0.6893951813919219
0,primary,valence,midpoint_as_high,seen_subject_unseen_stimulus,global_train_prior,0,0,720,240,0.5916666666666667,0.5,0.3717277486910995,0.5,0.2426176697530864,0.6783288551917572
0,primary,valence,midpoint_as_high,seen_subject_unseen_stimulus,subject_prior,0,0,720,240,0.5916666666666667,0.531618281115263,0.5016526824307145,0.558565679793044,0.24064182141513626,0.6741922349447944
0,primary,valence,midpoint_as_high,unseen_subject_seen_stimulus,global_train_prior,0,0,720,240,0.5625,0.5,0.36,0.5,0.2461014660493827,0.6853298698437814
0,primary,valence,midpoint_as_high,unseen_subject_seen_stimulus,stimulus_prior,0,0,720,240,0.7791666666666667,0.7751322751322751,0.7754197637670157,0.8442680776014109,0.1598829330632716,0.4964845747378458
0,primary,arousal,discard_midpoint,primary_test,global_train_prior,0,0,709,80,0.6125,0.5,0.3798449612403101,0.5,0.24056859618724405,0.6742186970422102
0,primary,arousal,discard_midpoint,primary_test,order_bin_prior,0,0,709,80,0.6125,0.5,0.3798449612403101,0.43219223173140225,0.24440456137996014,0.6820326956335517
0,primary,arousal,discard_midpoint,primary_test,order_quadratic_logistic,0,0,709,80,0.6125,0.5,0.3798449612403101,0.4726793943383806,0.2408851636309215,0.6748561722360501
0,primary,arousal,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,0,0,709,235,0.5361702127659574,0.5,0.3490304709141274,0.5,0.2490736077408257,0.6912996448149631
0,primary,arousal,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,0,0,709,235,0.5829787234042553,0.5646934614824524,0.5436350665821179,0.6643730886850153,0.22958197683491735,0.6506383848084849
0,primary,arousal,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,0,0,709,239,0.702928870292887,0.5,0.41277641277641275,0.5,0.230492600766739,0.6539826808473039
0,primary,arousal,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,0,0,709,239,0.6903765690376569,0.6455818242790073,0.6405284552845529,0.6698105298457411,0.2116409809171231,0.613707409052039
0,primary,arousal,midpoint_as_low,primary_test,global_train_prior,0,0,720,80,0.6125,0.5,0.3798449612403101,0.5,0.24160493827160492,0.6763135447855173
0,primary,arousal,midpoint_as_low,primary_test,order_bin_prior,0,0,720,80,0.6125,0.5,0.3798449612403101,0.4282422646477946,0.2455028687846336,0.6842070094003017
0,primary,arousal,midpoint_as_low,primary_test,order_quadratic_logistic,0,0,720,80,0.6125,0.5,0.3798449612403101,0.4726793943383806,0.24194034913642967,0.6769861335075573
0,primary,arousal,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,0,0,720,240,0.525,0.5,0.3442622950819672,0.5,0.2498688271604938,0.6928907284794996
0,primary,arousal,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,0,0,720,240,0.5833333333333334,0.5710108604845447,0.5492449853504621,0.6775271512113618,0.2284478130022913,0.6483359446226177
0,primary,arousal,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,0,0,720,240,0.7,0.5,0.4117647058823529,0.5,0.233341049382716,0.6597363610915349
0,primary,arousal,midpoint_as_low,unseen_subject_seen_stimulus,stimulus_prior,0,0,720,240,0.6916666666666667,0.6488095238095237,0.6437740693196405,0.6742724867724869,0.2140268132716049,0.6188085138638157
0,primary,arousal,midpoint_as_high,primary_test,global_train_prior,0,0,720,80,0.6125,0.5,0.3798449612403101,0.5,0.23984375,0.6727484858624129
0,primary,arousal,midpoint_as_high,primary_test,order_bin_prior,0,0,720,80,0.6125,0.5,0.3798449612403101,0.43219223173140225,0.24354081916081505,0.6803162877308281
