dataset,repetition,role,subject_fold,stimulus_fold,task,label_policy,source_train_rows_total,source_train_scored_paired_rows,class_0_anchors,class_1_anchors,eligible_donors_min,eligible_donors_p01,eligible_donors_p10,eligible_donors_median,eligible_donors_p90,eligible_donors_max,zero_donor_rate,below_5_donor_rate,below_10_donor_rate,below_20_donor_rate,unique_donor_subjects_min,unique_donor_subjects_median,unique_donor_stimuli_min,unique_donor_stimuli_median,paired_modality_anchor_rate,operational_verdict
DEAP,0,primary,1,0,valence,midpoint_as_high,720,720,317,403,277,279.19,283.0,362.0,375.0,390,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,0,arousal,discard_midpoint,720,714,291,423,251,255.0,262.0,384.0,395.0,408,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,0,arousal,midpoint_as_low,720,720,297,423,256,260.0,267.0,383.0,395.0,408,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,0,arousal,midpoint_as_high,720,720,291,429,251,255.0,262.0,389.0,401.0,416,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,1,valence,discard_midpoint,720,714,288,426,249,251.0,256.0,385.0,396.0,412,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,1,valence,midpoint_as_low,720,720,294,426,255,257.0,262.0,385.0,396.0,412,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,1,valence,midpoint_as_high,720,720,288,432,249,251.0,256.0,390.0,402.0,418,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,1,arousal,discard_midpoint,720,713,298,415,255,260.12,268.0,375.0,387.0,400,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,1,arousal,midpoint_as_low,720,720,305,415,262,266.19,275.0,375.0,387.0,400,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,1,arousal,midpoint_as_high,720,720,298,422,255,260.19,268.0,382.0,394.0,407,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,2,valence,discard_midpoint,720,712,344,368,302,304.0,309.0,327.0,343.0,356,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,2,valence,midpoint_as_low,720,720,352,368,310,312.0,317.0,329.0,343.0,356,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,2,valence,midpoint_as_high,720,720,344,376,302,304.0,309.0,334.0,350.0,364,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,2,arousal,discard_midpoint,720,711,312,399,272,275.0,282.0,360.0,373.0,385,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,2,arousal,midpoint_as_low,720,720,321,399,280,283.19,290.0,359.0,372.1,385,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,2,arousal,midpoint_as_high,720,720,312,408,272,275.0,282.0,369.0,381.0,393,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,3,valence,discard_midpoint,720,710,287,423,249,251.0,256.0,383.0,395.0,408,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,3,valence,midpoint_as_low,720,720,297,423,259,260.19,266.0,382.0,395.0,408,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,3,valence,midpoint_as_high,720,720,287,433,249,251.0,256.0,392.0,404.0,418,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,3,arousal,discard_midpoint,720,715,305,410,261,266.0,275.0,371.0,382.6,395,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,3,arousal,midpoint_as_low,720,720,310,410,266,270.0,279.0,371.0,382.1,395,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,1,3,arousal,midpoint_as_high,720,720,305,415,261,266.0,275.0,376.0,387.0,399,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,0,valence,discard_midpoint,720,714,310,404,272,274.0,277.0,363.0,376.0,387,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,0,valence,midpoint_as_low,720,720,316,404,278,278.0,282.0,363.0,376.0,387,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,0,valence,midpoint_as_high,720,720,310,410,272,274.0,277.0,369.0,381.1,393,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,0,arousal,discard_midpoint,720,712,283,429,239,246.11,254.0,390.0,400.0,414,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,0,arousal,midpoint_as_low,720,720,291,429,247,254.0,262.0,390.0,400.0,414,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,0,arousal,midpoint_as_high,720,720,283,437,239,246.19,254.0,398.0,408.0,421,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,1,valence,discard_midpoint,720,715,290,425,252,253.0,257.0,384.0,395.0,408,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,1,valence,midpoint_as_low,720,720,295,425,257,257.19,262.0,384.0,395.0,408,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,1,valence,midpoint_as_high,720,720,290,430,252,253.0,257.0,388.0,400.0,412,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,1,arousal,discard_midpoint,720,709,281,428,238,244.0,252.0,388.0,399.0,415,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,1,arousal,midpoint_as_low,720,720,292,428,248,254.19,262.0,388.0,399.0,415,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,1,arousal,midpoint_as_high,720,720,281,439,238,244.0,252.0,399.0,410.0,425,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,2,valence,discard_midpoint,720,714,339,375,299,301.0,304.0,333.5,349.0,363,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,2,valence,midpoint_as_low,720,720,345,375,305,307.0,310.0,333.0,349.0,363,0.0,0.0,0.0,0.0,23,23.0,27,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,2,valence,midpoint_as_high,720,720,339,381,299,301.0,304.0,339.0,355.0,368,0.0,0.0,0.0,0.0,23,23.0,26,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,2,arousal,discard_midpoint,720,710,296,414,253,259.0,266.0,375.0,386.0,399,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,2,arousal,midpoint_as_low,720,720,306,414,263,268.0,275.0,375.0,386.0,399,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,2,arousal,midpoint_as_high,720,720,296,424,253,259.0,266.0,384.0,396.0,408,0.0,0.0,0.0,0.0,23,23.0,29,29.0,1.0,PASS_STRONG
DEAP,0,primary,2,3,valence,discard_midpoint,720,713,291,422,254,256.0,260.0,382.0,393.0,406,0.0,0.0,0.0,0.0,23,23.0,28,29.0,1.0,PASS_STRONG
