scheme,cell_id,subject_fold,stimulus_fold,task,label_policy,held_subject_count,held_stimulus_count,source_subject_count,source_stimulus_count,train_physical_trials_before_policy,test_physical_trials_before_policy,train_retained,test_retained,test_midpoints_removed,test_midpoint_removed_fraction,train_low,train_high,test_low,test_high,train_single_class,test_single_class,test_rows_after_eeg_emg_availability,test_low_after_eeg_emg_availability,test_high_after_eeg_emg_availability,seen_subject_unseen_stimulus_retained,seen_subject_unseen_stimulus_low,seen_subject_unseen_stimulus_high,unseen_subject_seen_stimulus_retained,unseen_subject_seen_stimulus_low,unseen_subject_seen_stimulus_high,train_majority_class,train_majority_test_accuracy,train_majority_test_balanced_accuracy,train_majority_test_macro_f1,oracle_test_majority_accuracy_diagnostic_only,theoretical_balanced_accuracy_chance,train_stimulus_label_nmi,test_stimulus_label_nmi,train_subject_label_nmi,test_subject_label_nmi,test_presentation_order_js_divergence,subject_leakage,stimulus_leakage,test_independent_subjects,test_independent_stimuli,test_min_axis_units_capacity_proxy,exact_statistical_ess_identifiable_pre_model,session_split_leakage
idare_4x4,idare_4x4_S01_T01,1,1,valence,discard_midpoint,16,8,47,24,1128,128,933,105,23,0.1796875,458,475,49,56,False,False,105,49,56,312,147,165,317,158,159,1,0.5333333333333333,0.5,0.34782608695652173,0.5333333333333333,0.5,0.3026712666688736,0.40284949706266227,0.005102700860874778,0.028342489181726892,0.5538985706105602,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T01,1,1,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,653,475,72,56,False,False,128,72,56,376,211,165,384,225,159,0,0.5625,0.5,0.36,0.5625,0.5,0.22347396071217746,0.2803272360630269,0.00557186872034583,0.036834005865975614,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T01,1,1,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,458,670,49,79,False,False,128,49,79,376,147,229,384,158,226,1,0.6171875,0.5,0.38164251207729466,0.6171875,0.5,0.22812279153833312,0.32140727774450883,0.007088613892997504,0.01077264486907316,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T01,1,1,arousal,discard_midpoint,16,8,47,24,1128,128,1005,114,14,0.109375,623,382,71,43,False,False,114,71,43,337,206,131,343,212,131,0,0.6228070175438597,0.5,0.3837837837837838,0.6228070175438597,0.5,0.09962610902985815,0.26288287526851806,0.05195902097093679,0.038368970025097704,0.5493218660948376,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T01,1,1,arousal,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,746,382,85,43,False,False,128,85,43,376,245,131,384,253,131,0,0.6640625,0.5,0.39906103286384975,0.6640625,0.5,0.07946155909758708,0.21219947119953475,0.04438025372755793,0.04139598774446146,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T01,1,1,arousal,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,623,505,71,57,False,False,128,71,57,376,206,170,384,212,172,0,0.5546875,0.5,0.35678391959798994,0.5546875,0.5,0.08244084221095928,0.2040239015156061,0.04204698196416375,0.032880516431161855,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T02,1,2,valence,discard_midpoint,16,8,47,24,1128,128,936,106,22,0.171875,450,486,53,53,False,False,106,53,53,309,155,154,316,154,162,1,0.5,0.5,0.3333333333333333,0.5,0.5,0.29570499826898533,0.3948872060665219,0.004862206561536428,0.010993642865118327,0.5533015747341382,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T02,1,2,valence,midpoint_as_low,16,8,47,24,1128,128,1128,128,0,0.0,642,486,75,53,False,False,128,75,53,376,222,154,384,222,162,0,0.5859375,0.5,0.3694581280788177,0.5859375,0.5,0.21623259273140621,0.2715833086672446,0.005878601688026211,0.008881979827047201,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T02,1,2,valence,midpoint_as_high,16,8,47,24,1128,128,1128,128,0,0.0,450,678,53,75,False,False,128,53,75,376,155,221,384,154,230,1,0.5859375,0.5,0.3694581280788177,0.5859375,0.5,0.22305037340733455,0.34466617001923266,0.006054342495282806,0.01590842154246156,0.5487949406953986,False,False,16,8,8,False,False
idare_4x4,idare_4x4_S01_T02,1,2,arousal,discard_midpoint,16,8,47,24,1128,128,1009,116,12,0.09375,622,387,71,45,False,False,116,71,45,333,207,126,341,212,129,0,0.6120689655172413,0.5,0.37967914438502676,0.6120689655172413,0.5,0.11004292854292143,0.22309706430735116,0.05227599698856584,0.03639245157143903,0.5490531344707825,False,False,16,8,8,False,False
