dataset,artifact_path,commit_sha,analysis_type,protocol,task,label_policy,uses_target_subject,uses_target_stimulus,strict_joint,reproducible,usable_for_current_audit,notes,commit_date,commit_message,git_status_at_commit,current_path_exists,deleted_later_in_history
DEAP+I-DARE,docs/decision_log.md,9de41dd405380d02e360aaf4a48e84e51bff8cc5,data-or-cache-audit,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low+threshold_gt5,no,yes,no,unknown,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:36:42+03:00,docs: record discard-midpoint I-DARE sanity baseline,M,yes,no
I-DARE,docs/handoff_delta_after_discard_midpoint_sanity.md,9de41dd405380d02e360aaf4a48e84e51bff8cc5,model-or-training-result,unspecified,valence+arousal,discard_midpoint+midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:36:42+03:00,docs: record discard-midpoint I-DARE sanity baseline,A,yes,no
I-DARE,docs/handoff_delta_after_focused_policy_baseline.md,9b7f81eb20e6a017dc96d281a4fd4cc6fec70f08,model-or-training-result,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high+midpoint_as_low,no,yes,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:06:43+03:00,docs: record focused I-DARE score-5 policy decision,A,yes,no
I-DARE,docs/handoff_delta_after_main_baseline.md,8fa14bf85e84914998217dede2377e71b1c53c92,model-or-training-result,leave-one-subject-out,valence+arousal,discard_midpoint+midpoint_as_high,no,yes,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T15:30:42+03:00,docs: record I-DARE EEG main baseline status,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_balanced_sampler_smoke.json,748c001eaf2d39205bbaca8de4cc7c0bd84a988f,model-or-training-result,smoke-or-partial,arousal,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:17:53+03:00,exp: smoke arousal training on baseline corrected I-DARE EEG cache,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_balanced_sampler_smoke.md,748c001eaf2d39205bbaca8de4cc7c0bd84a988f,prior-or-baseline,leave-one-subject-out,arousal,midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:17:53+03:00,exp: smoke arousal training on baseline corrected I-DARE EEG cache,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_balanced_sampler_stability_smoke.json,2b63ee0957c0a4617d91fb9e7ab947eaedfc69c1,model-or-training-result,smoke-or-partial,arousal,midpoint_as_high,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:20:55+03:00,exp: expand arousal baseline corrected balanced sampler smoke,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_balanced_sampler_stability_smoke.md,2b63ee0957c0a4617d91fb9e7ab947eaedfc69c1,prior-or-baseline,leave-one-subject-out,arousal,midpoint_as_high,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-05T19:20:55+03:00,exp: expand arousal baseline corrected balanced sampler smoke,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_discard_midpoint_sanity_smoke.json,a2f06119720dd750ab670e100f2cdd9f40b7ff37,model-or-training-result,smoke-or-partial,arousal,discard_midpoint,unknown,unknown,no,unknown,context-only,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-06T11:39:47+03:00,exp: test arousal discard midpoint on baseline corrected cache,A,yes,no
I-DARE,docs/idare_arousal_baseline_corrected_discard_midpoint_sanity_smoke.md,a2f06119720dd750ab670e100f2cdd9f40b7ff37,prior-or-baseline,leave-one-subject-out,arousal,discard_midpoint,no,yes,no,likely,yes-or-context,Automated historical inventory; scientific classification must be manually reviewed before reuse.,2026-05-06T11:39:47+03:00,exp: test arousal discard midpoint on baseline corrected cache,A,yes,no
